"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"33","2","1","2","4","1","1","3","2","4","2","3","1","4","3","4"
"34","1","2","1","2","4","1","3","2","2","3","4","4","3","1","10"
"35","1","2","4","3","1","4","2","3","3","2","1","1","2","4","10"
"36","2","1","3","1","2","3","1","3","1","3","2","3","4","2","12"
"37","2","2","4","1","3","1","4","1","2","3","4","2","4","1","1"
"38","1","2","2","1","3","1","2","4","4","3","1","2","3","4","12"
"39","2","2","2","3","1","3","4","1","2","3","3","1","3","2","5"
"40","2","1","4","2","1","4","4","2","4","2","4","1","2","4","8"
"41","1","1","4","4","4","4","4","4","4","4","4","4","4","4","1"
"42","2","2","2","3","1","3","1","4","3","2","4","2","4","1","3"
"43","1","1","4","4","4","2","2","2","1","1","1","3","3","3","11"
"44","2","1","1","3","4","1","3","1","3","1","4","1","2","4","12"
"45","2","2","3","2","1","2","4","1","4","3","1","4","2","3","13"
"46","2","2","3","2","1","1","2","4","3","1","4","3","4","2","11"
"47","2","2","3","2","4","2","3","2","1","4","3","1","3","2","1"
"48","2","1","1","3","2","1","2","4","1","4","3","4","2","3","2"
"49","2","1","1","3","2","4","1","2","4","3","1","3","4","2","6"
"50","1","2","2","1","4","4","2","1","1","2","2","2","3","4","2"
"51","2","1","3","1","4","3","4","2","3","2","1","2","4","1","2"
"52","1","1","2","2","2","1","2","2","3","3","2","1","1","1","3"
"53","2","2","4","1","2","3","2","1","2","3","4","1","4","3","9"
"54","1","1","2","2","2","1","1","1","4","4","4","3","3","3","5"
"55","1","1","3","3","3","4","4","4","1","1","1","2","2","2","5"
"56","1","1","1","1","1","3","3","3","4","4","4","2","2","2","11"
"57","1","2","3","4","1","1","3","4","4","3","3","3","2","1","2"
"58","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"59","2","1","4","2","3","4","3","1","4","1","2","1","3","2","2"
"60","2","2","4","1","3","1","2","3","4","1","1","3","1","4","5"
"61","2","2","1","4","3","4","2","3","2","1","3","2","4","1","13"
"62","2","2","1","4","2","4","4","1","2","3","2","4","2","3","7"
"63","1","1","1","1","1","2","4","4","1","1","2","1","1","1","9"
"64","1","1","1","1","1","2","2","2","3","3","3","4","4","4","5"
"65","2","2","1","4","2","4","3","2","1","4","4","2","4","1","5"
"66","2","2","4","1","3","1","1","4","3","2","3","1","3","2","7"
"67","1","2","1","2","4","2","1","3","3","4","2","1","4","3","12"
"68","2","2","3","2","4","2","1","4","3","2","2","4","2","3","5"
"69","2","1","4","2","3","3","1","4","2","4","1","3","2","1","4"
"70","1","2","3","4","2","1","4","3","2","4","1","1","3","2","14"
"71","1","1","1","1","1","2","3","3","2","2","4","3","3","3","7"
"72","1","2","4","3","1","3","4","2","2","1","3","4","1","2","12"
"73","2","2","3","2","4","2","4","1","2","3","1","3","1","4","3"
"74","1","2","4","3","2","2","4","3","3","4","4","4","1","2","2"
"75","2","1","3","1","2","3","3","1","3","1","3","2","1","3","8"
"76","2","2","3","2","4","2","2","3","4","1","4","2","4","1","7"
"77","2","2","2","3","1","3","2","3","4","1","2","4","2","3","1"
"78","1","2","4","3","1","2","3","4","1","3","2","2","4","1","14"
"79","1","1","3","3","3","4","1","1","4","4","2","1","1","1","7"
"80","2","1","1","3","4","1","2","4","2","4","3","2","1","3","10"
"81","2","1","2","4","1","2","1","3","2","3","4","3","1","4","2"
"82","1","1","2","2","2","1","4","4","1","1","3","4","4","4","7"
"83","1","2","3","4","1","1","4","3","3","4","1","1","4","3","4"
"84","1","1","2","2","2","3","3","3","1","1","1","4","4","4","13"
"85","2","1","2","4","3","2","2","4","2","4","2","3","4","2","8"
"86","2","1","1","3","4","1","4","2","4","2","2","3","4","2","14"
"87","1","1","1","1","1","2","1","1","4","4","1","2","2","2","3"
"88","2","2","1","4","2","4","1","4","3","2","1","3","1","4","1"
"89","2","2","4","1","2","2","1","3","4","2","3","4","3","1","11"
"90","1","2","2","1","4","4","4","3","3","4","3","3","2","1","6"
"91","2","2","1","4","3","2","3","4","3","2","1","4","1","2","9"
"92","1","2","2","1","3","2","4","1","1","4","3","3","4","2","10"
"93","2","1","4","2","1","4","3","1","3","1","2","3","4","2","10"
"94","2","2","4","1","3","1","3","2","1","4","2","4","2","3","3"
"95","1","2","1","2","3","3","1","2","2","1","1","1","4","3","2"
"96","2","1","2","4","3","2","3","1","3","1","1","4","3","1","14"
"97","1","1","3","3","3","1","1","1","2","2","2","4","4","4","11"
"98","1","2","3","4","2","3","1","4","4","1","2","2","1","3","10"
"99","1","2","2","1","4","4","3","4","4","3","1","1","4","3","8"
"100","2","2","2","3","4","3","1","4","1","2","4","1","3","2","13"
"101","2","1","3","1","2","3","2","4","2","4","4","1","2","4","14"
"102","2","1","4","2","1","4","2","4","2","4","1","4","3","1","12"
"103","2","1","1","3","4","1","1","3","1","3","1","4","3","1","8"
"104","1","2","3","4","2","4","3","1","1","2","4","3","2","1","12"
"105","1","2","4","3","2","2","1","2","2","1","3","3","2","1","8"
"106","2","1","4","2","1","4","1","3","1","3","3","2","1","3","14"
"107","2","2","3","2","1","4","1","2","1","4","3","2","3","4","9"
"108","1","1","4","4","4","3","3","3","2","2","2","1","1","1","5"
"109","2","1","2","4","1","3","2","1","3","4","2","4","3","1","6"
"110","1","2","1","2","3","3","3","4","4","3","4","4","1","2","6"
"111","2","1","1","3","2","2","4","1","3","1","4","2","3","4","4"
"112","1","2","2","1","3","4","1","2","3","1","4","4","2","3","14"
