"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"48","1","2","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","2","2","1","1","2","1","1","1","1","2","2","1","3","4","2","1","1","4","2","1","3","4","3","4","2","1","3","2","1","4","2","4","3","3"
"49","2","1","2","2","1","2","1","2","1","2","2","2","1","2","1","2","2","1","2","2","1","2","1","2","1","2","2","2","1","2","3","2","3","2","4","4","3","2","4","2","3","2","3","3","3","2","4","4","1","4","2"
"50","1","2","1","1","1","1","2","2","2","2","2","2","2","1","2","1","1","1","2","1","1","2","2","1","2","2","1","1","1","1","1","1","1","4","4","4","4","4","2","2","2","2","2","3","3","3","3","3","1","3","4"
"51","2","2","1","1","1","1","1","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","1","1","1","1","2","2","3","1","2","4","2","3","1","2","4","2","3","1","2","4","2","3","1","2","4","3","4","1"
"52","1","1","2","1","1","2","1","2","1","1","1","2","2","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","2","1","3","3","4","4","3","1","1","2","3","4","2","2","1","1","2","4","4","3","3","4","3"
"53","2","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","3","1","1","3","1","1","2","3","2","2","3","1","1","1","3","2","3","2","4","2","3"
"54","1","1","2","2","1","2","2","1","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","2","1","1","1","2","2","3","4","1","3","1","2","1","3","4","4","1","3","4","2","2","3","4","1","3","1","3","3"
"55","2","1","1","1","1","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1","1","2","1","1","1","1","1","2","2","1","2","4","3","3","2","4","3","1","2","1","2","4","3","1","4","3","2","4","4","2","3"
"56","1","1","2","1","1","2","2","2","2","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","2","2","1","2","2","4","3","1","1","4","3","2","4","1","4","3","2","4","1","4","3","2","4","4","1","1"
"57","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","2","1","2","2","3","1","2","4","4","1","2","3","1","4","1","2","3","1","4","1","2","3","1","4","4","4"
"58","1","2","2","1","2","1","1","2","1","1","2","1","2","2","2","2","1","2","2","2","2","1","1","1","2","1","1","2","2","2","2","2","2","1","1","1","1","1","4","4","4","4","4","3","3","3","3","3","1","2","2"
"59","1","1","1","2","2","2","1","1","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","2","2","1","1","1","1","4","3","2","4","1","4","3","2","4","2","1","2","4","3","3","2","4","3","1","3","2","1"
"60","2","1","2","2","2","2","2","1","2","2","1","1","1","1","2","2","2","2","2","1","1","2","1","1","1","1","1","1","1","2","1","3","4","4","1","3","4","2","1","2","1","3","4","2","3","4","1","3","4","2","2"
"61","1","1","1","1","1","2","2","1","2","1","2","2","1","1","1","2","1","2","1","2","1","1","2","1","1","2","1","1","1","3","2","3","2","2","2","3","1","1","3","1","1","2","3","1","3","2","3","2","3","3","2"
"62","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","3","2","4","4","2","4","4","3","2","3","3","2","4","4","4","2","3","2","3","4","3","2"
"63","1","2","2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","2","3","2","2","3","1","1","2","2","3","1","1","2","2","3","1","1","1","4","1"
"64","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","1","1","2","2","2","1","1","1","2","2","2","1","3","1","1","2","1","2","4","4","3","3","4","2","2","1","2","1","3","3","4","2","2","1"
"65","1","2","1","1","2","1","2","1","1","2","1","2","1","2","2","1","1","2","2","1","2","1","2","1","1","2","1","1","1","4","3","2","4","3","2","4","3","1","1","4","3","2","4","2","1","2","4","3","2","1","3"
"66","1","1","2","1","2","1","2","1","2","2","2","2","2","1","2","1","1","1","1","2","2","1","1","2","1","1","1","2","2","2","2","2","2","4","4","4","4","4","3","3","3","3","3","1","1","1","1","1","4","4","3"
"67","2","1","2","1","1","1","2","1","2","1","2","1","1","2","2","1","2","1","2","1","2","1","1","2","1","2","1","1","1","1","4","2","2","1","1","4","2","2","2","4","1","4","1","4","2","2","1","4","3","3","4"
"68","2","1","1","2","2","1","1","2","1","1","2","1","2","2","2","2","1","2","2","2","2","1","1","1","2","1","2","1","2","3","3","3","3","4","4","4","4","4","1","1","1","1","1","2","2","2","2","2","1","3","3"
"69","2","1","2","2","2","1","2","1","1","2","1","2","1","2","2","1","1","2","2","1","2","1","2","1","1","2","2","2","1","1","2","3","1","2","3","1","2","4","4","1","2","3","1","3","4","3","1","2","2","4","2"
"70","2","1","1","1","2","1","2","1","1","2","2","2","1","2","1","2","2","1","2","2","1","2","1","2","1","2","2","1","2","1","4","1","4","1","3","3","4","1","3","1","4","1","4","4","4","1","3","3","1","4","3"
"71","1","1","1","2","2","1","1","1","2","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","2","2","2","1","1","3","4","2","2","3","4","1","3","2","3","4","1","3","2","3","4","1","3","4","1","4"
"72","1","2","2","2","1","1","2","2","1","1","1","2","2","1","2","2","2","1","1","2","2","2","1","1","1","2","1","2","2","1","3","3","4","3","4","2","2","1","1","2","4","4","3","4","3","1","1","2","2","3","1"
"73","1","2","1","1","1","2","1","2","1","2","2","2","1","2","1","2","2","1","2","2","1","2","1","2","1","2","1","1","1","3","2","3","2","3","1","1","2","3","1","3","2","3","2","2","2","3","1","1","1","1","3"
"74","2","1","2","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","4","2","2","4","2","2","1","4","1","1","4","2","2","2","4","1","4","1","4","2","2"
"75","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","2","2","2","2","1","1","2","2","1","1","2","2","1","3","4","2","1","4","3","4","2","1","3","2","1","4","2","1","4","2","1","3","2","2","1"
"76","1","2","2","2","2","1","2","1","1","2","2","2","1","2","1","2","2","1","2","2","1","2","1","2","1","2","1","2","2","4","1","4","1","4","2","2","1","4","2","4","1","4","1","1","1","4","2","2","1","1","2"
"77","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","1","2","1","2","1","2","1","1","2","1","2","2","1","2","3","2","4","4","3","3","2","4","4","4","2","3","2","3","2","4","4","3","2","3","2","4"
"78","1","1","2","1","1","1","2","2","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","2","2","1","1","2","2","3","4","1","3","2","3","4","1","3","1","2","1","3","4","4","1","3","4","2","3","2","4"
"79","2","1","2","1","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","1","1","1","4","2","1","3","4","3","4","2","1","4","3","4","2","1","4","3","4","2","1","1","1","1"
"80","2","2","2","1","2","1","2","1","1","1","1","2","2","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","1","3","1","1","2","2","1","3","3","4","1","2","4","4","3","3","4","2","2","1","3","1","3"
"81","1","2","1","1","2","2","1","1","1","1","1","2","2","1","2","2","2","1","1","2","2","2","1","1","1","2","1","1","1","2","4","4","3","4","3","1","1","2","2","1","3","3","4","3","4","2","2","1","2","3","4"
"82","2","2","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","2","2","1","2","2","1","1","2","3","1","4","1","2","3","1","3","4","3","1","2","2","3","1","2","4","3","3","4"
"83","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","1","2","1","2","1","2","1","1","2","1","2","1","2","2","2","3","1","1","2","2","3","1","1","1","3","2","3","2","3","1","1","2","3","3","3","1"
"84","2","1","1","1","1","2","1","2","1","2","1","2","1","2","2","1","1","2","2","1","2","1","2","1","1","2","2","1","2","2","1","4","2","1","4","2","1","3","3","2","1","4","2","4","3","4","2","1","2","4","3"
"85","2","2","2","2","1","1","1","1","1","1","2","1","2","2","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","3","3","4","1","1","3","3","4","1","1","3","3","4","1","1","3","3","4","1","4","4","4"
"86","2","1","1","1","2","2","1","1","2","2","2","2","2","1","2","1","1","1","2","1","1","2","2","1","2","2","2","1","2","3","3","3","3","2","2","2","2","2","4","4","4","4","4","1","1","1","1","1","1","2","4"
"87","1","2","2","2","1","2","1","2","1","2","1","2","1","2","2","1","1","2","2","1","2","1","2","1","1","2","1","2","2","3","4","1","3","4","1","3","4","2","2","3","4","1","3","1","2","1","3","4","2","1","2"
"88","1","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","2","1","2","2","4","3","1","2","1","2","4","3","2","1","2","4","3","2","1","2","4","3","1","4","1"
"89","2","2","2","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","1","4","4","4","4","2","2","2","2","2","1","1","1","1","1","3","3","3","3","3","4","1","3"
"90","1","1","1","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","2","1","1","1","1","1","4","3","2","4","2","1","2","4","3","3","2","4","3","1","1","4","3","2","4","1","3","2"
"91","2","2","1","2","1","2","1","2","1","1","1","2","2","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2","4","2","2","1","1","2","4","4","3","2","1","3","3","4","4","3","1","1","2","3","1","2"
"92","1","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","2","1","1","2","2","2","2","1","3","4","2","1","3","2","1","4","2","1","4","2","1","3","4","3","4","2","1","3","4","2"
"93","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","4","1","4","4","1","3","3","4","4","1","3","3","4","4","1","3","3","1","1","1"
"94","2","2","2","1","2","1","1","1","2","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","2","1","1","1","4","2","1","3","3","2","1","4","2","3","2","1","4","2","3","2","1","4","2","4","4","1"
"95","2","2","1","1","2","2","2","2","1","1","2","1","2","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2","2","4","4","3","2","2","4","4","3","2","2","4","4","3","2","2","4","4","3","2","4","4","1"
"96","1","2","1","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","2","2","1","1","3","4","2","1","2","1","3","4","1","2","1","3","4","1","2","1","3","4","1","4","4"
