"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"31","1","1","1","1","2","2","2","2","3","3","4","4","3","1","2","1","3","3","8","1","3"
"32","2","1","2","2","2","1","2","2","1","1","4","1","2","4","2","4","1","2","5","5","1"
"33","2","1","2","2","2","1","1","2","4","2","4","2","1","2","3","1","3","4","4","7","7"
"34","2","2","1","2","2","1","3","2","3","4","2","2","2","4","3","3","2","1","2","4","3"
"35","2","2","1","2","1","2","2","1","2","2","4","3","2","3","4","2","4","2","2","1","7"
"36","1","1","1","1","2","2","1","4","4","3","2","2","1","1","1","2","1","2","2","5","8"
"37","1","2","2","1","1","1","2","3","2","3","2","3","2","4","2","1","2","4","4","3","8"
"38","2","1","2","1","2","2","4","3","3","4","3","3","3","4","1","1","4","1","7","5","7"
"39","2","2","1","2","1","2","1","1","3","1","4","4","1","1","1","3","2","4","7","3","1"
"40","2","2","1","1","1","1","4","4","4","3","3","1","3","3","3","3","1","1","4","1","1"
"41","2","1","2","2","2","1","1","4","2","1","2","3","4","4","1","3","3","3","3","1","6"
"42","2","2","1","2","2","1","3","4","1","3","4","3","3","2","1","1","2","2","1","6","2"
"43","1","1","1","2","2","1","3","3","4","1","3","1","1","3","4","1","4","2","3","3","3"
"44","2","2","1","1","2","2","2","1","2","1","3","2","1","4","3","1","1","3","6","8","2"
"45","1","1","1","2","2","1","3","1","2","2","1","4","4","1","2","3","4","1","4","5","2"
"46","2","1","2","1","1","1","2","2","1","2","3","4","1","3","1","3","4","3","1","4","8"
"47","2","1","2","2","1","2","3","1","4","3","2","4","2","3","1","1","3","1","5","8","5"
"48","2","2","1","2","1","2","1","3","1","2","2","1","4","3","3","1","2","3","8","5","4"
"49","1","2","2","2","2","1","2","1","4","3","3","3","4","1","3","4","3","2","7","4","4"
"50","2","1","2","1","2","2","3","1","4","4","1","1","1","4","2","2","2","4","1","1","4"
"51","2","2","1","1","1","1","3","2","3","3","1","3","1","3","4","4","3","4","6","5","6"
"52","2","1","2","1","2","2","3","3","2","3","3","4","4","2","4","4","2","3","2","7","1"
"53","1","1","1","2","1","2","1","4","4","4","1","3","2","2","2","1","4","3","6","4","1"
"54","1","1","1","2","2","1","4","3","1","2","3","2","2","1","1","4","2","4","6","1","5"
"55","1","2","2","2","2","1","1","3","3","3","1","1","2","1","4","3","1","3","1","8","7"
"56","1","1","1","2","1","2","1","2","2","3","3","2","3","4","4","3","4","4","5","6","4"
"57","1","2","2","1","1","1","1","3","3","4","2","4","1","2","3","4","4","2","5","1","2"
"58","2","2","1","1","1","1","3","4","1","4","3","2","4","1","2","2","3","3","5","3","7"
"59","1","1","1","1","2","2","1","2","2","4","4","3","4","3","3","4","1","1","1","3","5"
"60","1","2","2","2","1","2","3","2","1","1","1","2","4","2","4","1","1","1","7","1","8"
"61","2","1","2","1","1","1","1","4","2","2","1","2","3","3","2","4","2","2","7","8","3"
"62","1","1","1","1","1","1","3","3","4","2","4","4","2","4","3","2","1","3","7","6","6"
"63","2","1","2","2","2","1","2","4","3","2","2","4","3","2","4","2","1","1","6","3","4"
"64","1","2","2","1","2","2","3","2","1","2","2","3","3","1","3","2","4","4","3","8","1"
