"","name","nruns","lineage"
"182","L51.3.1.17.1",51,""
"183","L52.2.51",52,""
"184","L52.2.16.13.1",52,""
"185","L52.2.2.26.1",52,""
"186","L52.4.1.13.1",52,""
"187","L54.2.1.3.25",54,"3~20;6~1;9~1;:(9~1!3~4;)(6~1!2~1;3~1;)"
"188","L54.2.1.3.21.9.1",54,"3~20;6~1;9~1;:(6~1!2~1;3~1;)"
"189","L54.2.1.27.1",54,""
"190","L54.3.24.6.1",54,"3~20;6~1;9~1;:(9~1!3~4;)"
"191","L54.3.20.6.1.9.1",54,""
"192","L54.3.18.18.1",54,""
"193","L55.5.1.11.1",55,""
"194","L56.2.55",56,"2~52;4~1;:(4~1!2~3;)"
"195","L56.2.52.4.1",56,""
"196","L56.2.40.7.1",56,"2~37;4~1;7~1;:(4~1!2~3;)"
"197","L56.2.37.4.1.7.1",56,""
"198","L56.2.30.14.1",56,"2~27;4~1;14~1;:(4~1!2~3;)"
"199","L56.2.28.28.1",56,""
"200","L56.2.27.4.1.14.1",56,""
"201","L56.7.1.8.1",56,""
"202","L57.3.1.19.1",57,""
"203","L58.2.1.29.1",58,""
"204","L60.2.59",60,""
"205","L60.2.30.3.1",60,""
"206","L60.2.24.6.1",60,""
"207","L60.2.23.5.1",60,""
"208","L60.2.21.10.1",60,""
"209","L60.2.17.3.1.5.1",60,"2~17;15~1;:(15~1!3~1;5~1;)"
"210","L60.2.17.15.1",60,""
"211","L60.2.16.3.1.10.1",60,"2~15;6~1;10~1;:(6~1!2~1;3~1;)"
"212","L60.2.16.5.1.6.1",60,"2~15;6~1;10~1;:(10~1!2~1;5~1;)"
"213","L60.2.15.6.1.10.1",60,""
"214","L60.2.2.30.1",60,""
"215","L60.3.1.4.1.5.1",60,"4~1;15~1;:(15~1!3~1;5~1;)"
"216","L60.3.1.20.1",60,""
"217","L60.4.1.15.1",60,""
"218","L60.5.1.12.1",60,""
"219","L62.2.1.31.1",62,""
"220","L63.3.13.7.1",63,"3~12;21~1;:(21~1!3~1;7~1;)"
"221","L63.3.12.21.1",63,""
"222","L63.7.1.9.1",63,""
"223","L64.2.63",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"224","L64.2.60.4.1",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"225","L64.2.57.4.2",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"226","L64.2.56.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"227","L64.2.54.4.3",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"228","L64.2.53.4.1.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"229","L64.2.51.4.4",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"230","L64.2.50.4.2.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"231","L64.2.49.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"232","L64.2.48.4.5",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"233","L64.2.48.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"234","L64.2.47.4.3.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"235","L64.2.46.4.1.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"236","L64.2.45.4.6",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"237","L64.2.45.4.1.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"238","L64.2.44.4.4.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"239","L64.2.43.4.2.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"240","L64.2.42.4.7",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"241","L64.2.42.4.2.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"242","L64.2.42.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"243","L64.2.41.4.5.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"244","L64.2.40.4.3.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"245","L64.2.39.4.8",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"246","L64.2.39.4.3.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"247","L64.2.39.4.1.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"248","L64.2.38.4.6.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"249","L64.2.37.4.4.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"250","L64.2.36.4.9",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"251","L64.2.36.4.4.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"252","L64.2.36.4.2.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"253","L64.2.35.4.7.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"254","L64.2.35.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"255","L64.2.34.4.5.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"256","L64.2.33.4.10",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"257","L64.2.33.4.5.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"258","L64.2.33.4.3.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"259","L64.2.32.4.8.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"260","L64.2.32.4.1.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"261","L64.2.32.32.1",64,""
"262","L64.2.31.4.6.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"263","L64.2.30.4.11",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"264","L64.2.30.4.6.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"265","L64.2.30.4.4.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"266","L64.2.29.4.9.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"267","L64.2.29.4.2.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"268","L64.2.28.4.7.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"269","L64.2.28.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"270","L64.2.27.4.12",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"271","L64.2.27.4.7.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"272","L64.2.27.4.5.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"273","L64.2.26.4.10.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"274","L64.2.26.4.3.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"275","L64.2.25.4.8.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"276","L64.2.25.4.1.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"277","L64.2.24.4.13",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"278","L64.2.24.4.8.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"279","L64.2.24.4.6.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"280","L64.2.23.4.11.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"281","L64.2.23.4.4.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"282","L64.2.22.4.9.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"283","L64.2.22.4.2.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"284","L64.2.21.4.14",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"285","L64.2.21.4.9.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"286","L64.2.21.4.7.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"287","L64.2.21.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"288","L64.2.20.4.12.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"289","L64.2.20.4.5.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"290","L64.2.19.4.10.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
