"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"82","1","3","3","1","3","2","2","1","6","6","4","6","5","1","6"
"83","2","3","3","2","2","5","5","1","5","4","5","6","3","6","4"
"84","1","1","2","2","3","4","1","4","1","1","6","3","3","6","6"
"85","2","3","3","2","1","3","1","6","6","2","5","1","5","5","3"
"86","1","3","3","1","2","6","1","3","6","4","6","1","4","2","5"
"87","3","2","2","3","2","6","1","5","2","6","2","3","6","6","3"
"88","1","3","3","1","4","2","3","5","2","6","4","5","2","2","5"
"89","1","2","2","1","3","5","3","4","4","6","5","1","5","3","1"
"90","1","1","3","3","2","1","2","6","5","6","6","5","6","3","4"
"91","3","2","3","2","2","4","3","2","4","3","1","6","6","3","6"
"92","3","3","1","1","1","2","5","4","1","1","4","1","1","4","4"
"93","1","1","2","2","1","1","3","3","3","5","4","4","6","5","5"
"94","2","2","3","3","1","1","3","1","1","3","2","2","4","1","1"
"95","2","3","2","3","3","1","6","5","6","3","1","5","4","4","6"
"96","2","3","2","3","6","6","2","1","3","1","3","3","5","3","5"
"97","2","1","1","2","6","4","5","5","2","6","6","1","4","4","1"
"98","2","3","2","3","1","5","4","3","4","1","3","1","6","4","6"
"99","3","1","1","3","2","5","5","5","3","2","3","4","1","2","6"
"100","1","2","2","1","1","3","1","2","2","4","1","3","1","3","1"
"101","2","1","2","1","2","4","3","4","6","5","3","2","2","1","4"
"102","3","1","3","1","4","4","6","3","5","3","3","3","5","5","1"
"103","1","1","3","3","4","3","4","2","1","2","4","3","4","3","4"
"104","1","2","1","2","4","4","6","1","3","1","1","1","3","1","3"
"105","3","1","1","3","6","3","3","3","1","6","5","6","3","2","6"
"106","3","2","3","2","6","2","1","6","2","1","3","2","2","3","6"
"107","1","1","2","2","1","2","5","2","5","5","2","5","5","6","6"
"108","3","1","1","3","3","5","3","6","6","2","1","3","1","1","5"
