"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"28","3","1","4","2","1","3","5","2","2","1","5","4","3","4","5","1","5","4","3","2","15"
"29","3","5","2","4","3","1","4","2","5","1","2","3","2","1","5","4","1","5","4","3","9"
"30","1","2","3","4","2","5","3","1","2","1","5","4","4","1","3","5","4","2","5","3","6"
"31","2","5","3","1","5","2","4","1","1","5","4","3","2","3","4","5","4","3","2","1","15"
"32","5","4","3","2","3","1","4","2","1","3","5","2","4","5","1","2","4","1","3","5","19"
"33","2","1","5","4","4","1","3","5","2","3","4","5","3","1","4","2","2","5","3","1","18"
"34","2","1","5","4","1","5","4","3","5","4","3","2","4","3","2","1","5","1","2","3","20"
"35","1","1","1","1","3","3","3","3","5","5","5","5","2","2","2","2","4","4","4","4","3"
"36","3","3","3","3","5","5","5","5","2","2","2","2","4","4","4","4","1","1","1","1","3"
"37","4","1","3","5","2","3","4","5","4","3","2","1","2","5","3","1","5","2","4","1","11"
"38","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","8"
"39","4","5","1","2","5","3","1","4","5","4","3","2","2","4","1","3","2","5","3","1","6"
"40","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1"
"41","5","3","1","4","5","4","3","2","1","2","3","4","1","3","5","2","5","2","4","1","13"
"42","5","3","1","4","4","2","5","3","3","1","4","2","2","5","3","1","4","5","1","2","16"
"43","1","5","4","3","5","4","3","2","4","3","2","1","3","2","1","5","4","5","1","2","20"
"44","5","2","4","1","4","1","3","5","3","5","2","4","2","4","1","3","5","1","2","3","12"
"45","2","1","5","4","5","3","1","4","3","5","2","4","1","2","3","4","1","3","5","2","19"
"46","3","4","5","1","3","5","2","4","3","1","4","2","3","2","1","5","5","2","4","1","5"
"47","5","3","1","4","2","3","4","5","2","4","1","3","3","2","1","5","1","4","2","5","14"
"48","1","4","2","5","1","5","4","3","2","3","4","5","2","4","1","3","1","3","5","2","13"
"49","5","1","2","3","5","2","4","1","5","3","1","4","5","4","3","2","2","4","1","3","5"
"50","4","3","2","1","2","5","3","1","5","2","4","1","3","4","5","1","3","5","2","4","19"
"51","3","4","5","1","5","4","3","2","2","4","1","3","2","5","3","1","2","1","5","4","7"
"52","4","1","3","5","5","4","3","2","3","1","4","2","5","1","2","3","1","4","2","5","10"
"53","1","4","2","5","3","4","5","1","3","5","2","4","4","3","2","1","2","5","3","1","14"
"54","4","1","3","5","3","5","2","4","2","4","1","3","1","3","5","2","4","5","1","2","12"
"55","1","3","5","2","5","2","4","1","4","1","3","5","3","5","2","4","1","2","3","4","12"
"56","1","3","5","2","4","5","1","2","1","5","4","3","4","2","5","3","2","4","1","3","11"
"57","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"58","3","5","2","4","4","3","2","1","2","5","3","1","4","5","1","2","5","3","1","4","10"
"59","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"60","4","2","5","3","2","4","1","3","3","2","1","5","4","5","1","2","1","5","4","3","15"
"61","5","4","3","2","4","3","2","1","3","2","1","5","2","1","5","4","3","4","5","1","20"
"62","3","2","1","5","4","5","1","2","5","3","1","4","3","5","2","4","4","3","2","1","17"
"63","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","8"
"64","3","3","3","3","4","4","4","4","5","5","5","5","1","1","1","1","2","2","2","2","2"
"65","1","1","1","1","4","4","4","4","2","2","2","2","5","5","5","5","3","3","3","3","4"
"66","1","3","5","2","2","1","5","4","5","3","1","4","2","3","4","5","3","1","4","2","10"
"67","2","5","3","1","4","5","1","2","4","1","3","5","5","4","3","2","3","1","4","2","14"
"68","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","1","1","1","1","2"
"69","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","8"
"70","5","2","4","1","3","4","5","1","5","4","3","2","3","1","4","2","1","3","5","2","11"
"71","2","4","1","3","5","1","2","3","2","1","5","4","5","3","1","4","3","5","2","4","11"
"72","4","3","2","1","3","2","1","5","2","1","5","4","1","5","4","3","2","3","4","5","20"
"73","5","2","4","1","5","3","1","4","2","3","4","5","4","3","2","1","3","2","1","5","9"
"74","4","4","4","4","1","1","1","1","3","3","3","3","5","5","5","5","2","2","2","2","3"
"75","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","8"
"76","5","2","4","1","1","5","4","3","4","2","5","3","1","2","3","4","2","5","3","1","10"
"77","4","5","1","2","4","1","3","5","4","2","5","3","4","3","2","1","1","3","5","2","5"
"78","4","3","2","1","1","3","5","2","4","5","1","2","5","3","1","4","4","2","5","3","18"
"79","3","5","2","4","2","4","1","3","1","3","5","2","5","2","4","1","3","4","5","1","12"
"80","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"81","4","4","4","4","2","2","2","2","5","5","5","5","3","3","3","3","1","1","1","1","4"
"82","1","5","4","3","4","2","5","3","2","4","1","3","5","1","2","3","5","2","4","1","19"
"83","1","4","2","5","5","3","1","4","4","2","5","3","3","1","4","2","5","1","2","3","16"
"84","5","4","3","2","2","4","1","3","5","1","2","3","1","4","2","5","5","3","1","4","18"
"85","5","5","5","5","3","3","3","3","1","1","1","1","4","4","4","4","2","2","2","2","4"
"86","3","5","2","4","1","2","3","4","3","2","1","5","1","4","2","5","4","1","3","5","11"
"87","1","2","3","4","3","2","1","5","5","2","4","1","5","3","1","4","5","4","3","2","7"
"88","2","4","1","3","2","5","3","1","4","5","1","2","1","5","4","3","5","4","3","2","9"
"89","1","3","5","2","1","4","2","5","3","4","5","1","5","4","3","2","4","3","2","1","9"
"90","2","2","2","2","4","4","4","4","1","1","1","1","3","3","3","3","5","5","5","5","3"
"91","3","1","4","2","2","5","3","1","1","4","2","5","5","3","1","4","2","3","4","5","16"
"92","3","2","1","5","1","4","2","5","4","1","3","5","2","3","4","5","2","4","1","3","19"
"93","1","4","2","5","4","1","3","5","5","4","3","2","1","2","3","4","3","2","1","5","15"
"94","5","1","2","3","1","4","2","5","1","5","4","3","3","5","2","4","3","1","4","2","6"
"95","2","2","2","2","5","5","5","5","3","3","3","3","1","1","1","1","4","4","4","4","4"
"96","5","1","2","3","2","1","5","4","4","1","3","5","4","2","5","3","4","3","2","1","7"
"97","2","1","5","4","3","4","5","1","4","2","5","3","2","4","1","3","3","2","1","5","17"
"98","1","5","4","3","2","3","4","5","3","1","4","2","1","3","5","2","2","1","5","4","17"
"99","4","3","2","1","5","1","2","3","1","4","2","5","4","1","3","5","5","4","3","2","17"
"100","3","2","1","5","2","1","5","4","1","5","4","3","5","4","3","2","1","2","3","4","20"
