"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"39","1","2","2","1","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","4","3","2","1","6","2","4","8","2","6","8","3","5"
"40","2","2","1","1","2","2","1","2","1","2","1","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","1","1","2","1","2","1","2","2","1","1","1","1","2","4","5","1","8","4","8","1","7","5","4","5","6"
"41","2","2","1","1","2","2","1","1","2","2","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","1","2","2","1","1","1","3","1","6","4","6","7","6","1","3","4","8","8","2","3"
"42","2","2","1","1","1","2","2","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","3","5","8","2","7","1","6","8","3","6","3","2","6"
"43","2","1","2","1","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","1","2","2","2","1","2","1","1","1","2","2","1","2","2","1","1","2","2","4","1","7","8","3","6","4","6","4","6","7","1","7","3"
"44","2","2","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","1","1","2","1","2","2","1","2","1","1","8","5","2","5","6","4","3","8","2","1","7","4"
"45","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","1","1","2","2","3","1","4","8","7","5","2","4","6","7","3","5","6","2"
"46","1","1","1","1","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","1","1","1","2","1","2","2","2","1","2","2","1","2","2","1","2","2","1","3","3","4","4","5","4","3","8","6","5","6","1","2","7"
"47","2","1","2","1","1","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","2","2","1","2","2","1","2","1","2","2","2","1","1","2","2","4","3","6","5","3","8","7","4","7","1","3","3","2","5"
"48","1","1","1","1","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","3","4","8","4","6","1","5","4","8","6","1","4","4","1"
"49","1","1","2","2","2","2","1","2","1","2","1","2","2","1","1","1","2","2","1","2","1","2","2","2","1","1","2","2","2","2","1","1","1","1","1","1","1","1","2","5","3","5","7","7","4","5","8","6","2","7","2"
"50","1","1","2","2","1","2","2","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","2","1","2","1","2","3","4","6","7","1","7","4","7","2","7","8","5","7","7"
"51","1","1","1","1","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","2","2","1","1","2","2","2","1","2","1","2","2","1","1","1","1","2","2","1","3","2","5","1","2","3","5","6","1","4","8","7","8"
"52","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","1","2","1","1","1","1","2","2","1","1","1","1","1","1","1","2","2","1","1","3","8","1","4","8","3","1","6","8","6","2","2"
"53","1","2","2","1","1","2","2","1","2","2","1","1","1","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","2","2","2","3","1","8","5","6","3","5","2","6","6","3"
"54","2","1","2","1","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","1","2","2","1","2","2","2","2","1","2","2","5","2","2","1","7","5","1","7","8","1","3","1"
"55","1","2","2","1","1","2","2","2","1","2","2","2","1","2","2","1","1","2","2","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","2","1","2","4","1","4","5","4","3","2","5","2","8","1","6","2","1"
"56","1","1","2","2","1","1","1","2","2","1","2","2","1","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","1","2","2","2","2","1","2","1","2","3","2","7","6","1","5","7","1","5","4","4","7","2","1"
"57","1","2","2","1","1","1","1","2","1","2","2","1","2","1","1","1","2","1","2","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","2","1","2","2","4","7","1","7","2","3","6","7","8","8","4","4","2"
"58","1","1","1","1","2","2","1","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","2","1","2","2","2","1","2","2","1","3","1","1","1","5","2","8","2","1","2","2","3","7","1"
"59","2","2","2","2","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","3","4","1","6","2","2","2","8","4","5","2","2","2","5"
"60","2","2","2","2","2","1","2","2","1","2","1","1","1","2","1","2","1","2","2","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","1","2","2","3","3","1","5","7","7","5","6","1","4","7","7","3","8"
"61","1","1","2","2","2","1","2","1","2","2","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","1","1","1","1","2","1","2","2","1","2","1","4","4","1","3","1","1","4","1","5","4","8","1","3"
"62","2","2","1","1","1","2","2","1","1","1","1","2","2","2","2","1","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","1","1","1","1","1","1","3","4","7","2","3","4","6","5","5","2","5","3","6","8"
"63","2","1","1","2","2","1","2","1","1","1","2","1","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","2","2","1","1","1","1","4","2","1","3","7","1","3","5","8","8","5","5","2","3"
"64","2","1","2","1","2","1","2","2","2","1","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","1","2","1","2","1","2","2","2","1","1","2","1","4","1","1","3","8","3","4","1","7"
"65","1","2","1","2","2","2","1","1","1","1","2","2","1","2","2","1","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","1","2","2","2","3","5","5","5","1","1","3","4","4","8","4","6","5"
"66","1","2","1","2","1","1","1","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","2","2","1","2","1","2","1","2","2","2","4","5","6","4","8","6","1","1","5","1","5","7","8"
"67","2","2","2","2","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","1","2","2","1","2","2","2","1","1","4","3","3","6","4","2","5","4","1","8","7","7","6"
"68","1","1","1","1","2","2","1","2","1","2","1","2","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","2","2","1","2","2","2","1","2","2","1","1","2","7","8","2","1","2","7","3","5","3","7","4","8"
"69","1","2","1","2","2","1","2","2","2","1","1","2","2","1","1","1","2","1","2","1","2","2","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","2","1","4","7","3","7","7","3","8","1","2","6","4","8"
"70","2","1","2","1","1","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","1","4","1","3","7","5","2","1","4","3","4","5","5","8","8"
"71","2","2","1","1","2","1","2","1","2","2","2","2","1","1","2","2","2","2","1","1","2","2","2","2","1","2","1","2","1","2","2","2","2","1","2","1","2","1","4","5","7","7","2","6","8","5","6","3","6","3","7"
"72","2","2","1","1","2","2","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","2","1","2","3","1","2","3","4","3","7","7","4","6","6","4","1","8"
"73","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","2","2","1","4","7","4","4","8","3","3","3","7","6","3","8","1"
"74","1","2","1","2","1","2","2","1","2","2","1","1","1","2","1","2","1","1","1","1","1","1","1","2","2","2","1","2","1","1","1","1","1","1","2","2","1","2","2","4","8","6","2","4","1","5","8","7","3","1","5"
"75","1","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","1","1","1","1","2","2","2","2","1","4","2","6","2","8","8","1","6","6","6","3","2","7","1"
"76","1","2","2","1","2","2","1","2","2","1","1","1","1","2","1","2","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","1","2","1","1","1","4","4","5","8","3","4","3","7","7","4","2","5","5","1"
"77","2","2","1","1","2","1","2","2","1","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","2","1","1","2","2","1","1","1","3","3","7","1","6","5","1","7","8","7","4","6","7","5"
"78","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","2","1","2","4","4","1","7","5","8","2","1","8","6","4","1","6","6"
"79","1","2","2","1","2","2","1","1","1","1","2","2","1","2","1","2","1","1","1","1","2","2","2","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","3","7","2","2","7","8","8","6","1","1","5","1","3"
"80","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","1","2","2","1","2","2","2","1","1","1","7","7","7","8","5","5","2","4","6","2","1","5"
"81","1","2","2","1","2","1","2","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","2","1","2","1","2","2","1","2","2","2","1","2","1","1","1","4","2","8","5","3","2","8","1","4","7","6","7","4","7"
"82","1","2","1","2","1","2","2","1","2","2","1","1","1","1","1","1","2","2","1","1","2","2","2","2","1","2","2","1","2","1","2","2","1","2","1","2","2","2","2","8","7","4","6","1","7","6","2","5","7","2","2"
"83","1","1","2","2","2","2","1","2","1","2","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","4","3","3","6","6","6","2","8","6","8","5"
"84","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","2","3","3","1","8","3","5","2","5","7","3","1","2","8"
"85","1","2","1","2","1","2","2","2","1","2","2","2","1","1","1","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","4","1","6","1","1","1","6","8","7","3","6","7","6","4"
"86","1","2","2","1","2","1","2","2","2","1","1","2","2","2","2","1","2","2","1","1","1","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","2","2","1","6","3","2","5","3","2","1","6","5","7","8","5"
