"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"86","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","3","1","3","2","2","1","1","3","3","2","3","1","2","3","2","1","1","3","3","2","2","1","2","3","1","2","1","3","3","2","2","1","1","3","1","2","3","2"
"87","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","1","3","2","3","3","2","1","2","1","2","1","3","2","1","3","1","1","3","2","3","2","3","2","1","3","2","1","2","2","1","3","1","3","1","3","2","2","3","1","2"
"88","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","2","3","1","2","1","3","3","2","2","1","1","3","1","2","3","1","3","2","2","1","1","3","3","2","3","1","2","3","2","1","1","3","3","2","2","1","1","2","3","2"
"89","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","2","3","2"
"90","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","3","1","2","3","2","1","1","3","3","2","2","1","1","2","3","1","3","2","2","1","1","3","3","2","2","3","1","2","1","3","3","2","2","1","1","3","3","1","2","2"
"91","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","1","3","2","2","3","2","1","1","2","1","3","1","2","1","3","3","1","3","2","2","3","2","1","2","3","2","1","1","2","1","3","3","1","3","2","3","1","2","2"
"92","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","2","3","3","1","1","2","2","2","2","3","3","1","1","2","2","3","3","1","1","1","1","2","2","3","3","1","1","2","2","3","3","3","3","1","1","2","2","1","3","2","3"
"93","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","2","3","1","2","3","1","2","3","1","2","3","1","3","1","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","3","1","2","2"
"94","2","1","2","1","1","1","2","1","1","1","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","2"
"95","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","1","2","1","3","1","1","3","2","3","2","3","2","1","1","3","2","3","3","2","1","2","1","2","1","3","3","2","1","2","2","1","3","1","3","1","3","2","2","1","3","3"
"96","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","2","3","2","1","1","2","1","3","3","1","3","2","1","2","1","3","3","1","3","2","2","3","2","1","3","1","3","2","2","3","2","1","1","2","1","3","3","2","1","3"
"97","1","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","3","3","1"
"98","2","1","2","2","1","1","1","1","1","1","1","1","2","1","2","2","1","1","1","1","2","2","3","3","2","2","3","3","3","3","3","3","1","1","2","2","1","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1","3","2","1","3"
"99","2","2","1","2","2","1","2","1","1","2","1","1","1","2","2","2","2","3","1","2","3","1","2","3","1","2","3","1","1","2","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","2","3","1","2","3","1","2","2","2","2","1"
"100","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","1","2","3","2"
"101","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","1","1","2","2","1","1","2","2","3","3","3","3","2","2","3","3","2","2","3","3","1","1","1","1","1","3","2","3"
"102","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","3","3","3","3","1","1","2","2","1","1","2","2","1","1","1","1","2","2","3","3","2","2","3","3","2","2","2","2","3","3","1","1","3","3","1","1","2","3","1","2"
"103","1","1","2","2","2","2","2","2","1","1","1","2","2","2","2","1","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","1","3","2","3"
"104","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","1","1","1","1"
"105","2","2","1","2","2","1","2","1","1","2","1","1","1","2","2","2","1","2","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","2","3","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","1","2","2","2","1"
"106","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","3","3","2","1","2","3","1","3","2","2","1","3","2","2","1","3","1","2","3","2","1","1","3","2","1","1","3","2","3","1","2","1","3","3","2","1","2","3","2"
"107","2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","3","2","1","2","1","3","1","1","3","2","3","1","2","1","3","1","3","2","3","3","2","1","2","3","1","3","2","3","2","1","2","2","1","3","1","2","2","2","1"
"108","2","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","3","2","2","1","3","1","2","3","2","1","1","3","1","3","3","2","1","2","3","1","3","2","2","1","2","1","1","3","2","3","1","2","1","3","3","2","1","3","2","3"
