"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"53","2","1","1","2","2","1","1","2","1","2","2","1","2","3","6","3","5","4","5","4"
"54","2","2","1","1","1","2","2","1","2","2","2","2","2","1","6","5","4","1","3","6"
"55","2","2","1","1","1","2","2","1","2","2","2","1","1","3","2","1","6","3","5","2"
"56","2","1","2","1","2","1","2","2","1","2","3","3","2","1","2","3","6","5","4","1"
"57","2","1","2","2","2","2","1","1","2","2","1","2","3","3","5","1","1","5","4","6"
"58","2","2","2","1","1","2","2","2","1","2","1","2","1","2","3","6","3","5","5","6"
"59","2","1","2","2","2","2","1","1","2","2","1","1","2","2","1","3","3","1","6","2"
"60","1","2","1","1","2","2","1","2","1","2","1","2","3","3","2","4","4","2","1","3"
"61","1","2","1","1","2","2","1","2","1","2","1","3","1","1","6","2","2","6","5","1"
"62","2","2","2","2","1","1","2","1","1","1","2","1","1","3","5","5","6","2","3","1"
"63","2","2","1","1","2","2","2","2","2","1","3","2","3","3","5","3","1","4","2","1"
"64","1","2","2","1","2","1","1","1","2","2","2","2","3","1","1","4","6","5","6","5"
"65","2","2","2","2","1","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2"
"66","2","1","2","1","1","1","1","1","2","2","3","1","3","1","2","6","5","6","3","3"
"67","1","2","1","2","1","1","1","2","1","2","3","3","2","3","1","5","4","5","2","2"
"68","1","1","1","2","1","2","2","1","2","2","1","1","3","1","2","5","2","4","4","5"
"69","2","1","1","1","1","2","1","1","1","1","3","2","3","1","1","2","6","6","2","4"
"70","1","2","2","2","1","2","1","2","2","1","3","3","1","2","2","3","1","1","3","5"
"71","2","1","2","1","1","1","1","1","2","2","3","3","2","3","4","2","1","2","5","5"
"72","1","1","2","1","2","1","2","2","2","1","1","3","3","3","3","5","6","4","1","2"
