"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"26","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","2","2","1","1","2","3","7"
"27","1","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","1","1","2","4"
"28","1","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","1","2","3","8"
"29","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","2","1","2","2","2","3","4"
"30","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","12"
"31","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","5"
"32","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","11"
"33","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","1","2","2","3","14"
"34","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","2","1","2","1","5"
"35","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","2","2","9"
"36","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","2","2","1","13"
"37","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","2","1","2","3","9"
"38","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","1","1","1","10"
"39","2","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","1","3","8"
"40","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","1","2","1","3","13"
"41","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","1","2","2","1","1"
"42","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","14"
"43","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","10"
"44","2","2","2","1","1","1","2","1","1","2","2","2","2","1","1","1","2","2","1","2","3","2"
"45","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","1","2","1","3","5"
"46","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","2","2","2","8"
"47","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","1","1","1","1","2"
"48","1","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","2","1","2","5"
"49","1","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","3","2"
"50","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","1","2","1","6"
"51","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","1","2","3","11"
"52","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","2","1","2","1","4"
"53","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","11"
"54","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","1","2","3","6"
"55","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","13"
"56","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","2","2","2"
"57","1","2","2","2","1","1","1","2","1","1","1","2","2","2","1","1","1","1","1","1","3","1"
"58","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","1","1","2","1","8"
"59","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","2","1","1","2"
"60","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","1","1","2","2"
"61","2","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","2","2","1","1","2","3"
"62","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2","2","3","12"
"63","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","2","13"
"64","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","2","2","1","3","13"
"65","2","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","1","1","6"
"66","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","2","1","10"
"67","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","2","1","1","9"
"68","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","1","2","3","4"
"69","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","2","1","1","1","11"
"70","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","1","3","6"
"71","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","1","1","2","10"
"72","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","5"
"73","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","1","2","3","10"
"74","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","1","1","14"
"75","1","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","2","1","1","4"
"76","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","2","2","1","9"
"77","1","1","2","1","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","1","3","1"
"78","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","2","1","2","2","12"
"79","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","1","1","2","1","2","1","3"
"80","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","1","1","1","7"
"81","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","2","1","3","12"
"82","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","11"
"83","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","2","1","3","11"
"84","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","1","3","9"
