"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"63","1","1","3","3","2","2","1","1","1","3","3","2","2","1","1","1","3","3","2","2","1","13"
"64","3","2","1","2","3","1","3","3","2","2","3","1","1","1","1","3","2","3","1","2","1","35"
"65","1","3","2","3","1","2","1","1","3","3","1","2","2","2","2","1","3","1","2","3","2","35"
"66","3","1","3","2","2","1","3","2","3","2","1","1","3","2","1","2","1","3","3","2","1","18"
"67","3","3","3","1","3","1","1","3","3","3","2","3","2","2","2","2","2","1","2","1","1","3"
"68","3","1","1","1","3","3","1","1","1","2","1","3","1","2","1","2","2","2","1","1","2","21"
"69","3","1","1","3","2","1","2","2","3","3","2","1","3","1","3","1","3","3","1","3","2","20"
"70","1","3","1","2","2","3","2","3","2","3","1","1","2","1","1","2","3","2","2","3","1","30"
"71","1","3","2","3","1","2","1","3","2","1","2","3","1","3","3","2","2","3","1","1","1","36"
"72","1","2","3","3","3","3","2","3","1","2","2","2","2","1","3","2","2","2","3","3","2","28"
"73","3","1","2","1","1","2","3","3","2","3","1","1","2","1","2","1","2","3","3","1","3","25"
"74","1","2","1","3","3","2","1","2","2","1","3","1","2","2","1","1","3","2","3","1","1","17"
"75","3","2","1","2","3","1","3","2","1","3","1","2","3","2","2","1","1","2","3","3","3","36"
"76","2","2","2","3","2","3","3","1","1","1","2","1","2","2","3","3","3","1","3","1","1","4"
"77","2","2","1","1","3","3","2","2","2","1","1","3","3","2","2","2","1","1","3","3","2","13"
"78","3","3","1","1","1","2","2","3","3","1","1","1","2","2","3","3","1","1","1","2","2","9"
"79","2","3","3","3","2","2","3","1","2","2","2","1","1","2","2","2","3","2","1","2","3","22"
"80","1","1","3","3","2","2","1","2","2","1","1","3","3","2","3","3","2","2","1","1","3","14"
"81","3","2","3","1","2","1","2","1","3","1","2","3","2","3","2","1","2","3","1","3","1","32"
"82","2","1","3","1","2","3","2","2","1","1","2","3","3","3","3","2","1","2","3","1","3","35"
"83","2","3","3","2","1","3","1","1","2","2","1","3","2","3","2","3","2","2","3","2","1","20"
"84","2","2","1","3","1","2","2","1","1","3","2","3","1","1","1","2","1","3","3","2","1","12"
"85","2","3","1","3","3","1","2","1","2","3","2","2","3","1","3","1","2","1","1","2","3","26"
"86","1","3","2","1","3","3","1","2","1","3","2","1","1","2","3","2","1","3","2","2","3","34"
"87","2","3","1","3","3","1","2","2","1","2","3","3","1","3","1","3","1","2","2","3","2","25"
"88","1","3","3","3","1","1","3","3","2","2","2","3","3","2","2","1","1","1","2","2","1","42"
"89","1","3","2","1","3","3","1","1","3","2","1","3","3","1","1","3","2","1","3","3","1","33"
"90","2","2","2","2","2","2","2","3","3","3","3","3","3","3","1","1","1","1","1","1","1","2"
"91","1","2","1","1","2","1","3","3","1","3","3","1","3","2","2","3","2","2","3","2","1","16"
"92","2","3","3","2","1","3","1","3","1","3","3","1","3","2","3","1","1","3","2","1","2","19"
"93","2","3","2","2","3","2","1","2","3","3","2","1","3","1","1","2","2","1","3","2","3","15"
"94","2","1","3","1","2","3","2","1","3","2","3","1","2","1","1","3","3","1","2","2","2","36"
"95","1","2","3","1","1","3","3","2","3","1","2","2","1","1","3","1","2","3","3","2","2","24"
"96","3","1","3","2","2","1","3","1","1","3","2","3","1","1","3","3","2","1","2","3","3","17"
"97","2","1","3","2","1","1","2","2","1","3","2","1","1","2","2","1","3","2","1","1","2","33"
"98","1","2","3","3","3","3","2","1","3","3","3","1","1","3","2","3","1","1","1","1","3","27"
"99","3","3","1","3","2","3","1","2","2","3","2","1","2","3","1","1","2","1","3","1","2","8"
"100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"101","2","1","3","1","3","2","3","3","2","1","2","1","3","1","1","3","2","3","2","1","2","38"
"102","1","1","3","2","3","1","1","1","2","1","3","3","2","1","2","2","1","3","1","2","2","11"
"103","2","1","3","2","1","1","2","3","2","1","3","2","2","3","1","3","2","1","3","3","1","34"
"104","1","3","3","1","2","2","2","3","2","2","3","1","1","1","2","1","1","2","3","3","3","40"
"105","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","2"
"106","3","1","1","3","2","1","2","1","2","1","1","2","1","3","1","2","2","1","3","2","3","19"
"107","3","1","2","3","3","2","2","3","1","2","3","3","2","2","3","1","2","3","3","2","2","23"
"108","3","2","1","2","1","3","1","3","2","1","2","1","3","1","3","2","1","2","1","3","1","37"
"109","3","2","3","1","1","2","1","1","2","3","2","2","3","1","1","3","1","2","2","3","2","29"
"110","2","1","1","2","3","3","3","1","3","3","1","2","2","2","3","2","2","3","1","1","1","40"
"111","1","3","2","3","2","1","2","2","1","3","1","3","2","3","3","2","1","2","1","3","1","38"
"112","1","1","2","1","3","1","2","1","2","2","2","1","1","2","3","1","1","1","3","3","1","7"
"113","1","2","1","3","3","2","1","3","1","3","2","2","1","3","2","3","2","1","1","3","2","18"
"114","1","2","3","1","1","3","3","1","2","3","1","1","3","3","1","2","3","1","1","3","3","23"
"115","1","1","1","2","1","2","2","3","3","3","1","3","1","1","2","2","2","3","2","3","3","4"
"116","2","1","1","1","2","2","1","1","3","3","3","1","1","3","3","2","2","2","3","3","2","42"
"117","2","2","3","2","1","2","3","1","1","2","1","3","1","2","3","3","1","3","2","3","1","8"
"118","1","1","1","3","1","3","3","2","2","2","3","2","3","3","2","2","2","1","2","1","1","5"
"119","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"120","1","1","2","1","3","1","2","3","3","1","3","2","3","1","2","2","3","2","1","2","3","8"
"121","2","2","1","1","3","3","2","3","3","2","2","1","1","3","1","1","3","3","2","2","1","14"
"122","2","2","2","1","2","1","1","3","3","3","1","3","1","1","3","3","3","2","3","2","2","5"
"123","1","2","2","2","1","1","2","2","2","3","2","1","2","3","2","3","3","3","2","2","3","21"
"124","3","3","1","3","2","3","1","3","1","1","1","3","3","1","2","3","3","3","2","2","3","7"
"125","1","2","3","2","2","3","1","3","1","2","1","1","2","3","2","3","1","3","3","1","2","26"
"126","3","3","2","1","2","3","3","3","1","3","2","2","1","3","1","1","3","2","3","1","1","11"
