"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"37","2","1","1","3","3","1","3","4","2","1","2","4","3","4","3","4"
"38","1","1","2","1","2","3","1","6","1","2","5","3","1","6","2","4"
"39","2","3","1","3","1","3","6","2","5","1","5","1","1","3","5","1"
"40","1","2","1","1","2","2","6","1","1","4","2","4","5","2","4","1"
"41","1","3","1","1","3","1","3","1","4","4","6","3","5","3","1","5"
"42","1","2","2","3","3","1","2","5","6","3","3","6","3","3","2","2"
"43","2","1","1","3","3","2","2","6","4","5","2","5","2","6","4","3"
"44","2","2","1","1","2","3","4","5","5","2","6","6","1","4","4","1"
"45","2","1","2","1","2","1","4","6","1","3","1","1","1","3","1","3"
"46","1","2","2","3","3","3","3","5","3","3","5","6","6","2","1","1"
"47","2","3","3","2","2","2","2","6","6","1","4","1","4","2","2","1"
"48","2","2","2","3","3","2","5","1","5","5","1","4","4","6","1","1"
"49","1","1","3","3","1","3","2","2","1","6","6","4","6","5","1","6"
"50","2","1","2","2","1","3","3","3","1","5","4","3","4","1","4","2"
"51","1","2","2","1","1","3","6","4","6","1","4","5","2","6","6","5"
"52","2","2","3","3","2","1","1","1","3","1","6","3","4","1","6","4"
"53","2","3","2","2","3","2","4","4","5","4","4","4","6","5","5","4"
"54","1","3","3","2","2","1","4","2","2","3","6","5","2","6","2","1"
"55","1","1","2","2","1","3","5","3","4","4","6","5","1","5","3","1"
"56","1","2","1","2","1","2","4","3","4","6","5","3","2","2","1","4"
"57","2","1","2","2","1","1","1","1","5","3","2","5","6","3","4","2"
"58","2","2","3","2","3","1","4","6","5","1","5","5","5","1","3","5"
"59","2","1","2","1","2","2","3","2","3","4","1","1","5","4","2","4"
"60","1","1","1","3","3","1","4","2","6","1","4","3","6","4","4","3"
"61","1","3","1","3","1","1","5","4","1","2","5","1","5","4","6","2"
"62","2","1","1","2","2","2","6","3","6","3","3","4","1","1","6","6"
"63","2","3","2","2","3","3","4","5","3","6","4","4","5","2","6","3"
"64","2","2","1","2","1","1","6","5","6","2","1","1","6","6","1","4"
"65","2","3","2","3","2","1","6","5","4","6","5","5","4","4","3","6"
"66","2","3","2","3","2","3","1","4","2","6","1","4","2","3","4","5"
"67","1","3","2","3","2","2","3","6","4","2","3","2","6","1","4","5"
"68","2","2","2","1","1","2","2","6","2","3","6","3","6","4","6","5"
"69","2","2","1","2","1","3","2","1","2","4","3","5","4","4","1","4"
"70","2","3","3","2","2","3","5","6","6","5","6","4","3","4","1","2"
"71","2","1","3","1","3","3","2","1","4","6","5","1","6","6","5","2"
"72","2","2","2","1","1","3","5","6","2","1","2","6","5","6","5","6"
"73","2","1","3","3","1","2","4","4","3","2","2","2","4","3","1","6"
"74","1","3","1","3","1","3","1","6","3","4","1","5","3","2","6","2"
"75","1","2","3","3","2","3","5","3","2","2","4","3","5","3","5","3"
"76","1","3","3","1","1","1","2","5","4","1","1","4","1","1","4","4"
"77","1","3","2","2","3","3","2","2","3","2","2","6","2","1","5","4"
"78","1","2","1","1","2","3","2","2","5","4","4","2","4","3","3","2"
"79","2","3","3","1","1","2","5","1","3","3","5","2","2","4","3","3"
"80","1","2","3","3","2","1","3","1","6","6","2","5","1","5","5","3"
"81","2","3","2","3","2","1","5","2","6","4","5","6","4","5","4","5"
"82","1","2","1","2","1","2","3","6","6","4","5","4","2","3","2","3"
"83","2","1","3","3","1","1","2","3","5","2","6","4","5","2","2","5"
"84","1","2","3","2","3","2","2","4","3","5","3","1","1","3","3","5"
"85","2","2","1","1","2","2","4","4","1","6","6","6","2","1","3","2"
"86","2","2","3","2","3","2","3","2","1","2","5","5","3","2","4","6"
"87","2","2","2","3","3","2","6","3","4","1","1","2","5","5","2","2"
"88","2","3","1","3","1","1","4","6","3","5","3","3","3","5","5","1"
"89","2","3","2","2","3","1","2","3","1","4","2","6","1","4","6","3"
"90","1","3","1","1","3","2","5","5","5","3","2","3","4","1","2","6"
"91","2","1","1","3","3","3","5","6","4","3","4","2","1","2","3","4"
"92","2","2","2","1","1","1","3","4","6","5","6","2","1","2","5","6"
"93","1","2","3","2","3","1","5","4","3","4","1","3","1","6","4","6"
"94","1","2","3","3","2","2","5","5","1","5","4","5","6","3","6","4"
"95","1","3","2","2","3","2","6","1","5","2","6","2","3","6","6","3"
"96","2","1","1","2","2","2","5","1","1","1","3","6","6","2","5","5"
"97","1","1","2","1","2","1","5","4","5","6","3","5","3","2","2","4"
"98","1","1","2","2","1","2","5","5","3","1","6","1","2","5","4","2"
"99","2","2","3","3","2","2","1","5","4","4","6","1","3","1","5","3"
"100","1","2","2","1","1","1","4","2","4","5","2","1","4","2","6","5"
"101","1","1","1","2","2","1","1","3","3","3","5","4","4","6","5","5"
"102","2","2","1","1","2","1","2","3","3","6","4","2","3","6","4","1"
"103","1","3","3","1","1","3","4","1","6","3","3","2","5","5","4","4"
"104","2","3","1","1","3","1","1","1","1","5","4","1","2","5","2","6"
"105","1","3","1","3","1","2","2","4","1","3","1","5","5","1","5","1"
"106","1","1","2","2","1","1","3","1","2","2","4","1","3","1","3","1"
"107","1","3","3","2","2","3","6","4","4","5","2","3","6","4","2","1"
"108","2","1","2","1","2","3","6","2","3","5","3","5","5","1","1","3"
