"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"38","2","1","2","1","2","1","1","2","1","1","1","1","1","2","2","1"
"39","2","1","2","2","1","2","1","1","2","1","2","1","2","6","4","4"
"40","2","1","1","1","1","1","1","1","1","2","1","2","2","6","6","2"
"41","2","1","1","1","2","2","2","1","2","2","2","2","1","2","5","5"
"42","2","2","1","1","2","1","1","1","1","2","2","1","2","5","3","4"
"43","1","2","2","2","1","1","1","1","2","2","2","2","1","2","1","3"
"44","2","1","2","1","2","1","1","2","1","1","1","1","1","2","2","3"
"45","2","1","1","1","1","1","1","1","1","2","1","2","2","6","6","4"
"46","1","2","1","2","2","1","2","1","2","2","1","1","2","1","5","2"
"47","2","2","2","1","1","1","2","2","1","2","2","1","1","1","4","5"
"48","2","2","1","1","2","2","1","1","2","1","1","2","2","5","4","3"
"49","1","2","1","2","2","1","2","1","2","2","1","1","2","1","5","4"
"50","1","2","2","1","1","1","2","1","2","1","1","2","2","5","2","2"
"51","2","1","1","1","2","2","2","2","2","2","2","2","1","4","2","6"
"52","1","2","2","1","2","1","2","2","1","1","2","2","2","6","5","2"
"53","2","1","2","2","1","2","1","1","2","1","2","1","2","6","4","2"
"54","2","2","2","2","1","2","2","1","1","1","1","2","2","2","3","4"
"55","1","2","2","1","2","2","1","2","2","2","2","1","1","6","3","3"
"56","2","2","1","2","1","2","1","1","1","1","2","1","1","4","5","3"
"57","1","2","1","1","1","2","1","2","2","1","1","1","2","4","1","2"
"58","2","2","1","2","1","2","1","1","1","1","2","1","1","4","5","5"
"59","2","2","2","2","2","1","1","2","1","2","1","2","1","4","6","3"
"60","2","1","2","1","2","2","2","1","1","1","1","1","2","1","1","5"
"61","1","1","2","1","2","2","1","1","1","2","2","2","2","3","1","4"
"62","2","1","1","1","2","2","2","1","2","2","2","2","2","2","5","1"
"63","1","2","1","2","2","1","1","1","1","1","2","1","2","3","2","3"
"64","2","1","2","2","1","2","1","1","2","1","2","1","1","6","4","6"
"65","1","2","1","1","1","2","2","2","1","1","2","1","1","2","6","4"
"66","2","1","1","1","1","1","1","1","1","2","1","2","1","6","6","6"
"67","1","1","1","2","2","2","1","2","1","1","1","2","1","1","3","4"
"68","1","1","2","1","1","1","2","1","2","2","1","1","1","4","3","5"
"69","1","1","2","1","2","2","1","1","1","2","2","2","1","3","1","2"
"70","1","1","1","2","1","2","2","1","1","2","1","1","1","6","2","5"
"71","1","2","2","2","1","1","1","1","2","2","2","2","1","2","1","1"
"72","1","1","1","2","2","2","1","2","1","1","1","2","1","1","3","6"
"73","1","1","1","1","1","1","1","1","2","1","2","2","1","1","6","5"
"74","2","2","2","2","1","2","2","1","1","1","1","2","1","2","3","2"
"75","1","1","1","1","1","1","1","1","2","1","2","2","1","1","6","1"
"76","2","1","1","2","1","1","2","2","1","2","2","1","1","5","1","4"
"77","1","2","1","1","1","2","1","2","2","1","1","1","2","4","1","4"
"78","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","3"
"79","2","2","2","2","1","2","1","2","2","2","2","2","1","1","2","4"
"80","1","2","1","1","1","2","1","2","2","1","1","1","2","4","1","6"
"81","1","1","2","2","2","2","2","2","2","1","2","1","1","5","6","5"
"82","1","2","2","1","2","1","2","2","1","1","2","2","1","6","5","4"
"83","2","1","1","1","2","2","2","2","2","2","2","2","2","4","2","4"
"84","1","1","2","2","2","2","2","2","2","1","2","1","2","5","6","3"
"85","2","2","2","2","1","2","1","2","2","2","2","2","2","1","2","2"
"86","1","1","1","2","2","1","1","2","2","2","1","1","2","2","4","4"
"87","1","2","2","1","2","2","1","2","2","2","2","1","1","6","3","1"
"88","1","2","2","1","2","2","1","2","2","2","2","1","2","6","3","5"
"89","1","2","2","1","2","1","2","2","1","1","2","2","2","6","5","6"
"90","2","1","2","1","2","1","1","2","1","1","1","1","2","2","2","5"
"91","1","1","2","2","1","2","1","2","1","2","1","2","2","5","5","1"
"92","1","1","2","2","1","2","1","2","1","2","1","2","2","5","5","5"
"93","2","2","2","2","2","2","2","1","2","2","1","1","2","3","6","6"
"94","2","2","2","2","2","2","2","1","2","2","1","1","1","3","6","4"
"95","1","1","1","1","1","1","1","1","2","1","2","2","2","1","6","3"
"96","2","2","1","1","2","2","1","1","2","1","1","2","2","5","4","5"
"97","1","2","1","1","1","2","2","2","1","1","2","1","2","2","6","2"
"98","1","2","1","1","1","2","2","2","1","2","1","2","1","3","4","3"
"99","2","1","1","1","2","2","2","2","2","2","2","2","1","4","2","2"
"100","1","2","1","1","1","2","2","2","1","2","1","2","1","3","4","5"
"101","1","1","2","2","1","2","1","2","1","2","1","2","2","5","5","3"
"102","2","2","1","2","2","1","2","2","2","1","1","2","2","6","1","5"
"103","1","2","2","1","1","1","2","1","2","1","1","2","1","5","2","4"
"104","2","2","2","2","1","2","1","2","2","2","2","2","2","1","2","6"
"105","1","1","2","1","1","1","2","1","2","2","1","1","2","4","3","1"
"106","1","1","1","2","1","2","2","1","1","2","1","1","2","6","2","1"
"107","2","2","1","1","2","1","1","1","1","2","2","1","1","5","3","2"
"108","1","1","1","2","2","2","1","2","1","1","1","2","1","1","3","2"
