"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"115","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","2","18"
"116","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","9"
"117","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","2","18"
"118","2","2","1","1","1","2","2","2","1","2","2","1","1","1","2","2","2","1","3","7"
"119","2","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","3","16"
"120","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","1","19"
"121","1","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","12"
"122","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","2","15"
"123","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1","21"
"124","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","10"
"125","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","3","14"
"126","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","3","18"
"127","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","3","21"
"128","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","20"
"129","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","2","2","16"
"130","2","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","1","14"
"131","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","3","18"
"132","1","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","1","6"
