"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"28","2","1","3","3","3","2","1","3","1","3","2","3","2","7","6","1","9","5","9"
"29","2","2","2","1","1","2","3","2","3","2","1","3","6","9","3","1","4","7","4"
"30","3","2","1","3","2","1","3","3","1","3","2","3","1","5","9","2","6","7","5"
"31","1","2","3","2","1","3","2","3","1","1","1","1","7","9","8","4","6","5","3"
"32","2","1","3","3","2","3","1","2","2","2","2","1","8","9","7","2","3","1","2"
"33","1","3","2","3","2","3","1","2","3","3","3","1","2","8","5","4","1","7","7"
"34","1","3","2","3","1","3","2","3","1","3","2","3","3","3","3","3","3","3","1"
"35","3","1","2","2","3","1","2","2","3","1","2","2","7","7","7","7","7","7","1"
"36","2","3","1","2","1","1","1","1","3","2","1","3","3","5","7","4","9","2","6"
"37","2","2","2","1","2","1","3","3","2","3","1","2","9","7","8","3","1","2","2"
"38","1","1","1","1","1","3","2","3","1","2","3","2","5","6","4","8","9","7","2"
"39","3","3","3","1","1","1","1","1","2","2","2","1","4","3","8","6","2","7","9"
"40","3","2","1","3","2","2","2","1","1","2","3","2","9","3","6","4","7","1","4"
"41","1","2","3","2","2","3","1","2","3","1","2","2","9","5","1","8","4","3","9"
"42","1","1","1","1","3","3","3","1","2","2","2","1","6","7","2","4","8","3","5"
"43","1","3","2","3","1","1","1","1","1","2","3","2","8","7","9","5","4","6","3"
"44","3","2","1","3","3","3","3","1","3","1","2","2","4","6","5","1","3","2","3"
"45","1","1","1","1","2","3","1","2","3","2","1","3","4","2","9","3","7","5","8"
"46","3","1","2","2","2","3","1","2","1","2","3","2","3","4","8","1","5","9","5"
"47","1","2","3","2","3","2","1","3","2","2","2","1","3","6","9","7","1","4","4"
"48","3","3","3","1","2","1","3","3","1","2","3","2","6","8","1","7","3","5","6"
"49","2","2","2","1","1","3","2","3","3","1","2","2","2","4","9","6","8","1","6"
"50","2","1","3","3","2","2","2","1","2","3","1","2","3","2","1","9","8","7","3"
"51","1","2","3","2","2","2","2","1","3","2","1","3","1","7","4","6","3","9","7"
"52","1","1","1","1","2","2","2","1","3","3","3","1","8","4","3","7","6","2","9"
"53","2","3","1","2","2","1","3","3","2","2","2","1","2","1","3","8","7","9","3"
"54","3","2","1","3","1","3","2","3","2","1","3","3","6","2","7","5","1","9","9"
"55","1","2","3","2","3","3","3","1","2","1","3","3","8","1","6","3","5","7","6"
"56","1","1","1","1","3","1","2","2","2","1","3","3","2","5","8","9","3","6","4"
"57","2","1","3","3","3","1","2","2","1","1","1","1","6","3","9","8","5","2","7"
"58","2","3","1","2","2","2","2","1","2","1","3","3","7","8","9","1","2","3","2"
"59","2","1","3","3","2","1","3","3","2","1","3","3","4","4","4","4","4","4","1"
"60","3","3","3","1","1","3","2","3","2","3","1","2","8","5","2","1","7","4","7"
"61","1","3","2","3","3","2","1","3","2","1","3","3","5","9","1","6","7","2","5"
"62","3","3","3","1","3","1","2","2","3","2","1","3","5","4","6","2","1","3","3"
"63","3","1","2","2","2","2","2","1","1","3","2","3","4","9","2","8","1","6","6"
"64","1","2","3","2","1","1","1","1","1","3","2","3","6","4","5","9","7","8","2"
"65","3","3","3","1","3","3","3","1","3","3","3","1","9","9","9","9","9","9","1"
"66","3","3","3","1","3","2","1","3","3","1","2","2","1","2","3","4","5","6","2"
"67","2","2","2","1","3","3","3","1","1","1","1","1","3","8","4","2","7","6","9"
"68","1","3","2","3","2","2","2","1","3","1","2","2","6","1","8","2","9","4","8"
"69","3","1","2","2","1","2","3","2","2","3","1","2","5","1","9","4","3","8","9"
"70","2","1","3","3","3","3","3","1","1","2","3","2","7","5","3","6","1","8","8"
"71","2","2","2","1","2","3","1","2","2","1","3","3","1","3","2","7","9","8","3"
"72","1","2","3","2","3","1","2","2","2","3","1","2","4","8","3","5","9","1","5"
"73","3","1","2","2","3","2","1","3","3","3","3","1","6","5","4","3","2","1","3"
"74","3","3","3","1","2","3","1","2","1","3","2","3","7","1","4","5","8","2","4"
"75","1","2","3","2","2","1","3","3","3","3","3","1","5","3","7","1","8","6","8"
"76","2","1","3","3","1","3","2","3","3","2","1","3","9","1","5","7","2","6","5"
"77","2","2","2","1","2","2","2","1","2","2","2","1","5","5","5","5","5","5","1"
"78","2","2","2","1","3","1","2","2","1","3","2","3","8","6","1","4","2","9","8"
"79","2","3","1","2","2","3","1","2","2","3","1","2","6","6","6","6","6","6","1"
"80","2","1","3","3","1","2","3","2","3","3","3","1","1","6","8","5","7","3","6"
"81","3","2","1","3","1","1","1","1","2","3","1","2","2","9","4","7","5","3","8"
