"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"39","2","1","2","2","1","1","1","2","1","2","1","1","1","1","1","1","1","2","1","1","2","2"
"40","1","2","1","2","2","1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","2","9"
"41","1","1","2","1","2","1","2","1","1","2","2","2","2","1","2","1","1","1","1","2","2","19"
"42","1","2","2","1","2","1","2","1","1","1","2","2","1","1","1","2","1","1","2","2","2","15"
"43","1","2","1","2","1","1","2","2","2","1","1","2","1","1","1","1","2","1","1","2","1","13"
"44","1","2","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","1","2","12"
"45","2","1","2","2","2","2","2","2","2","1","2","1","2","2","1","2","2","2","2","1","2","19"
"46","2","2","1","2","2","1","1","1","2","2","1","2","2","1","1","1","1","1","1","2","1","14"
"47","2","1","2","1","2","1","1","2","2","1","1","2","2","1","2","2","1","1","1","2","1","6"
"48","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","1","2","2","2","1","8"
"49","1","2","1","1","1","2","1","1","1","1","1","2","1","1","1","1","2","1","1","2","1","19"
"50","2","2","1","1","1","2","2","2","1","1","1","2","2","1","1","2","1","2","2","1","2","1"
"51","2","1","1","1","2","2","1","2","1","2","1","1","2","2","2","2","1","1","1","2","1","1"
"52","1","2","2","2","2","1","2","2","1","2","2","1","2","2","2","1","2","1","2","2","1","11"
"53","1","2","2","2","1","1","2","1","1","2","1","2","2","2","1","2","2","1","2","2","1","23"
"54","1","1","1","1","2","1","2","2","1","1","2","2","1","2","2","2","1","1","2","2","1","21"
"55","1","2","1","1","1","2","2","1","2","2","2","1","2","1","2","2","1","2","1","2","2","5"
"56","1","2","2","1","1","1","1","2","2","1","1","1","2","2","2","1","1","2","2","1","1","15"
"57","1","1","1","1","2","2","1","1","2","1","2","2","2","2","1","2","1","2","1","2","2","4"
"58","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","2","1","18"
"59","1","1","1","2","2","1","1","2","2","2","2","2","1","2","1","2","1","1","1","1","2","7"
"60","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","1","1","2","2","1","1","6"
"61","2","2","1","1","2","1","1","1","1","1","2","2","1","2","1","2","1","2","1","1","2","23"
"62","2","2","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","1","19"
"63","1","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","1","2","1","2","11"
"64","2","1","1","2","2","2","1","2","2","2","2","1","1","1","2","1","2","2","1","1","1","23"
"65","1","1","1","2","1","1","1","2","1","1","2","2","1","2","2","2","2","1","2","1","1","5"
"66","1","2","2","1","1","2","2","2","2","1","2","1","1","1","2","2","2","1","1","1","2","14"
"67","1","2","1","2","1","2","1","1","2","2","1","1","1","1","1","2","1","1","2","1","2","21"
"68","2","2","2","2","2","1","1","2","1","2","1","2","2","1","1","1","1","2","2","2","2","5"
"69","2","1","1","1","2","2","1","1","1","1","1","1","1","2","1","1","2","1","2","2","2","8"
"70","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","2","1","1","1","1","1","10"
"71","1","2","2","1","2","1","1","2","1","1","1","2","2","1","2","2","2","2","1","1","2","3"
"72","1","1","2","2","2","2","1","2","1","1","2","1","2","2","1","2","2","2","2","2","1","14"
"73","1","2","2","2","2","2","2","1","2","2","1","2","1","2","1","2","2","2","1","2","1","20"
"74","1","2","2","1","1","1","1","1","2","2","1","1","1","2","1","2","1","1","1","2","1","17"
"75","1","2","1","1","1","1","1","2","2","1","2","2","2","1","2","1","2","2","1","1","1","8"
"76","1","2","1","2","2","1","2","2","1","1","2","1","2","2","1","1","1","2","2","1","1","16"
"77","2","2","1","1","1","2","2","1","2","1","2","1","2","1","1","2","2","1","2","2","1","2"
"78","2","2","2","1","2","1","2","2","1","1","1","1","1","2","1","1","2","1","2","1","1","4"
"79","1","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","2","2","2","2","13"
"80","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","2","1","2","20"
"81","2","1","2","1","2","1","1","1","1","2","2","1","2","1","1","2","1","2","2","1","1","13"
"82","1","1","2","1","1","2","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","23"
"83","2","1","2","2","1","1","2","1","1","2","2","1","2","2","2","1","1","1","1","2","1","12"
"84","2","2","1","1","2","1","2","1","2","2","1","1","1","2","2","2","1","2","1","1","1","10"
"85","2","1","2","1","2","1","2","2","2","2","1","1","2","1","1","1","2","2","1","2","2","21"
"86","2","2","2","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","1","2","11"
"87","2","1","2","2","2","2","2","1","1","1","2","2","1","1","2","2","2","2","1","1","2","17"
"88","2","1","1","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","2","1","11"
"89","1","1","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","1","1","1","2","8"
"90","2","1","2","1","1","1","2","1","2","1","2","1","1","1","2","2","1","2","2","1","1","9"
"91","2","1","2","2","1","2","2","2","2","1","1","2","2","2","2","2","2","1","1","1","2","13"
"92","1","1","2","1","1","2","1","1","1","1","2","1","2","1","2","1","1","2","1","2","1","20"
