"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"217","1","2","2","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1"
"218","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","2","2","2","1"
"219","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","1","1","1","1"
"220","2","1","1","1","2","2","1","1","2","2","2","2","2","2","1","2","2","2","1"
"221","1","2","1","1","2","1","1","2","2","1","1","1","1","1","2","2","1","2","1"
"222","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","2","2","2","2"
"223","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","2","1"
"224","2","2","2","2","2","1","1","2","1","2","1","1","1","2","2","2","1","1","2"
"225","2","1","2","1","2","2","1","2","2","1","1","2","1","2","2","2","2","1","1"
"226","1","1","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","1"
"227","1","1","2","1","1","2","1","2","2","2","2","2","2","1","2","1","2","1","2"
"228","2","2","2","1","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2"
"229","2","2","1","2","1","1","1","2","1","1","1","2","1","1","1","2","2","1","1"
"230","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","1","1","1","2"
"231","1","2","2","1","2","2","1","2","1","1","2","1","2","2","2","1","1","1","2"
"232","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","1","1","1","2"
"233","2","1","1","1","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1"
"234","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","2","1","2","1"
"235","1","1","1","2","2","2","2","1","1","1","2","1","2","2","1","1","1","1","1"
"236","2","1","1","2","2","1","2","1","1","2","2","2","1","2","2","2","2","1","1"
"237","2","2","1","1","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1"
"238","1","2","2","2","1","1","2","1","1","2","1","2","1","2","1","1","1","1","1"
"239","2","1","1","2","1","2","1","2","1","1","2","2","2","2","2","2","1","1","2"
"240","1","1","1","2","2","1","2","2","1","2","1","1","1","1","1","1","2","2","2"
"241","1","2","2","1","2","1","2","2","1","2","1","2","2","1","2","1","1","2","2"
"242","2","2","1","1","1","2","2","2","2","1","1","2","2","1","2","1","1","1","2"
"243","2","1","2","2","1","2","2","2","1","2","1","2","1","1","2","1","1","2","1"
"244","2","1","2","1","2","2","1","2","2","1","1","2","1","2","2","1","1","2","2"
"245","1","2","2","2","1","1","1","2","2","1","1","2","2","2","2","2","2","1","2"
"246","1","2","1","1","1","1","1","1","2","2","1","2","2","1","1","2","1","1","1"
"247","2","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","1","2","2"
"248","1","2","2","2","1","1","2","1","1","2","1","2","1","2","1","2","2","2","2"
"249","2","1","2","2","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2"
"250","2","2","1","1","1","1","2","1","1","2","1","1","1","1","2","2","1","2","2"
"251","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","2","1","1","1"
"252","2","2","1","2","1","2","1","1","2","2","1","2","1","2","2","2","1","2","1"
"253","2","2","2","2","2","1","2","1","2","1","1","2","1","1","2","1","2","2","2"
"254","2","1","1","1","2","2","2","2","1","2","1","1","2","2","2","1","2","1","2"
"255","2","2","2","1","1","2","1","2","1","2","1","2","2","2","1","2","1","2","2"
"256","2","1","2","1","1","1","2","1","2","2","1","2","2","2","2","1","2","2","1"
