"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"21","3","3","3","1","2","2","2","1","2","1","3","3","2","3","1","2","7","8","3","1","2","2"
"22","2","1","3","3","3","3","3","1","1","1","1","1","2","2","2","1","3","8","6","2","7","9"
"23","2","2","2","1","3","1","2","2","1","2","3","2","2","3","1","2","1","9","4","3","8","9"
"24","2","1","3","3","3","2","1","3","3","3","3","1","3","1","2","2","6","5","1","3","2","3"
"25","1","1","1","1","2","2","2","1","2","3","1","2","2","1","3","3","3","2","7","9","8","3"
"26","3","3","3","1","3","3","3","1","3","3","3","1","3","3","3","1","9","9","9","9","9","1"
"27","2","3","1","2","3","3","3","1","2","1","3","3","1","2","3","2","8","1","7","3","5","6"
"28","1","2","3","2","3","3","3","1","2","2","2","1","1","1","1","1","6","7","3","4","8","5"
"29","2","3","1","2","1","3","2","3","2","2","2","1","3","1","2","2","1","8","2","9","4","8"
"30","1","2","3","2","3","1","2","2","3","3","3","1","3","2","1","3","3","1","5","6","4","2"
"31","3","1","2","2","1","1","1","1","3","2","1","3","2","3","1","2","3","5","2","4","9","6"
"32","3","2","1","3","1","3","2","3","1","1","1","1","1","2","3","2","7","9","5","4","6","3"
"33","3","1","2","2","3","2","1","3","1","2","3","2","2","2","2","1","4","1","3","9","6","7"
"34","2","2","2","1","2","3","1","2","3","3","3","1","1","3","2","3","2","8","7","4","1","7"
"35","1","3","2","3","1","1","1","1","2","1","3","3","3","1","2","2","9","6","5","2","8","7"
"36","1","2","3","2","2","2","2","1","1","3","2","3","3","1","2","2","4","9","6","8","1","6"
"37","2","3","1","2","3","2","1","3","1","3","2","3","2","1","3","3","2","7","5","1","9","9"
"38","3","3","3","1","1","3","2","3","3","1","2","2","2","2","2","1","2","4","1","6","8","6"
"39","2","1","3","3","2","2","2","1","3","2","1","3","1","2","3","2","1","7","9","6","3","7"
"40","1","3","2","3","2","3","1","2","1","1","1","1","3","2","1","3","5","7","4","9","2","6"
"41","3","2","1","3","1","2","3","2","3","3","3","1","2","1","3","3","1","6","3","5","7","6"
"42","2","1","3","3","1","2","3","2","3","1","2","2","2","3","1","2","8","3","5","9","1","5"
"43","2","3","1","2","2","2","2","1","1","2","3","2","3","2","1","3","9","3","1","4","7","4"
"44","2","3","1","2","1","1","1","1","3","3","3","1","2","2","2","1","7","2","4","8","3","5"
"45","3","2","1","3","2","2","2","1","3","1","2","2","1","3","2","3","6","1","4","2","9","8"
"46","3","1","2","2","2","1","3","3","3","3","3","1","1","2","3","2","5","3","6","1","8","8"
"47","1","1","1","1","3","3","3","1","3","2","1","3","3","1","2","2","2","3","4","5","6","2"
"48","3","3","3","1","3","2","1","3","2","2","2","1","1","2","3","2","3","6","4","7","1","4"
"49","2","1","3","3","1","1","1","1","2","3","1","2","3","2","1","3","2","9","3","7","5","8"
"50","1","1","1","1","2","3","1","2","3","1","2","2","1","2","3","2","9","5","3","8","4","9"
"51","3","3","3","1","1","1","1","1","1","2","3","2","1","3","2","3","8","7","6","5","4","3"
"52","2","2","2","1","1","2","3","2","2","1","3","3","3","3","3","1","3","7","1","8","6","8"
"53","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"54","3","2","1","3","3","1","2","2","2","1","3","3","1","1","1","1","2","5","6","9","3","4"
"55","1","1","1","1","3","2","1","3","2","1","3","3","1","3","2","3","5","9","2","6","7","5"
"56","2","2","2","1","1","3","2","3","3","2","1","3","2","1","3","3","9","1","6","7","2","5"
"57","1","3","2","3","2","1","3","3","2","2","2","1","2","3","1","2","2","1","9","8","7","3"
"58","2","2","2","1","3","2","1","3","2","3","1","2","1","1","1","1","7","3","9","2","4","6"
"59","3","2","1","3","3","2","1","3","3","2","1","3","3","2","1","3","8","8","8","8","8","1"
"60","2","2","2","1","3","3","3","1","3","1","2","2","3","2","1","3","4","6","2","1","3","3"
"61","2","3","1","2","2","1","3","3","3","1","2","2","1","1","1","1","3","9","8","5","2","7"
"62","3","2","1","3","2","3","1","2","1","2","3","2","3","1","2","2","3","4","9","1","5","5"
"63","3","1","2","2","1","3","2","3","2","1","3","3","3","2","1","3","6","2","9","5","1","9"
"64","1","2","3","2","2","1","3","3","3","2","1","3","1","3","2","3","7","6","1","9","5","9"
"65","2","1","3","3","2","3","1","2","1","3","2","3","3","3","3","1","7","1","2","5","8","4"
"66","3","3","3","1","2","3","1","2","3","2","1","3","1","1","1","1","4","2","5","3","7","8"
"67","3","3","3","1","1","2","3","2","2","3","1","2","3","1","2","2","5","1","8","4","3","9"
"68","2","3","1","2","3","1","2","2","3","2","1","3","3","3","3","1","5","4","3","2","1","3"
"69","1","3","2","3","3","1","2","2","2","3","1","2","1","2","3","2","4","8","1","5","9","5"
"70","1","1","1","1","1","3","2","3","3","3","3","1","2","3","1","2","4","7","8","2","5","4"
"71","1","1","1","1","3","1","2","2","1","3","2","3","2","2","2","1","8","6","9","4","2","8"
"72","3","1","2","2","2","2","2","1","1","1","1","1","3","3","3","1","2","6","8","3","4","5"
"73","3","1","2","2","3","3","3","1","2","3","1","2","1","3","2","3","1","4","5","8","2","4"
"74","1","3","2","3","2","2","2","1","3","3","3","1","1","1","1","1","8","4","2","7","6","9"
"75","1","2","3","2","1","1","1","1","3","1","2","2","2","1","3","3","5","8","9","3","6","4"
"76","3","1","2","2","2","3","1","2","2","2","2","1","2","1","3","3","8","9","1","2","3","2"
"77","1","1","1","1","1","2","3","2","2","2","2","1","3","2","1","3","7","4","6","3","9","7"
"78","2","2","2","1","2","1","3","3","1","1","1","1","3","1","2","2","8","2","3","6","9","4"
"79","1","3","2","3","3","2","1","3","3","1","2","2","3","3","3","1","1","2","6","4","5","2"
"80","3","2","1","3","3","3","3","1","1","3","2","3","2","3","1","2","5","2","1","7","4","7"
"81","1","3","2","3","1","3","2","3","1","3","2","3","1","3","2","3","3","3","3","3","3","1"
