"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"27","1","2","1","3","3","1","2","1","3","5","2","6","4","5","2","2","5"
"28","1","2","2","2","1","1","2","2","6","2","3","6","3","6","4","6","5"
"29","2","1","3","2","2","3","3","1","6","1","6","6","2","4","3","5","4"
"30","1","1","2","3","2","3","1","3","6","5","6","3","1","5","4","4","6"
"31","2","2","2","1","1","2","1","2","4","1","6","6","6","2","1","3","2"
"32","1","2","3","3","2","2","2","2","6","6","1","4","1","4","2","2","1"
"33","1","2","2","1","2","1","1","3","4","4","2","3","6","4","5","2","3"
"34","1","1","3","3","1","1","2","1","5","4","1","1","4","1","1","4","4"
"35","2","2","1","1","3","3","2","3","6","4","3","4","2","1","2","3","4"
"36","1","1","1","3","3","1","2","3","2","1","6","6","4","6","5","1","6"
"37","2","1","1","3","3","1","3","1","6","5","4","4","6","2","1","1","6"
"38","2","2","3","2","3","2","2","1","2","6","4","5","6","4","5","4","5"
"39","1","2","2","1","2","1","2","3","1","2","4","3","5","4","4","1","4"
"40","2","2","1","2","1","2","1","1","6","1","3","1","1","1","3","1","3"
"41","1","1","3","1","1","3","3","1","1","4","4","6","3","5","3","1","5"
"42","2","2","3","2","3","2","3","1","5","4","6","5","5","4","4","3","6"
"43","1","2","2","3","3","2","3","3","3","5","3","2","1","2","5","6","4"
"44","1","2","2","3","3","2","1","1","1","3","1","6","3","4","1","6","4"
"45","1","1","3","2","2","3","2","3","2","3","2","2","6","2","1","5","4"
"46","2","1","1","1","2","2","1","3","1","4","1","1","6","3","3","6","6"
"47","2","1","2","2","3","3","1","3","1","2","5","5","4","1","1","2","2"
"48","2","2","1","3","3","1","1","3","5","1","4","2","2","3","6","2","5"
"49","1","2","3","3","2","2","3","1","4","4","3","4","6","5","6","1","2"
"50","2","1","3","1","1","3","2","2","5","5","3","2","3","4","1","2","6"
"51","2","1","1","2","2","1","2","2","5","3","1","6","1","2","5","4","2"
"52","2","1","3","1","1","3","2","3","3","6","6","2","1","3","1","1","5"
"53","2","1","2","1","2","1","1","2","3","4","6","5","3","2","2","1","4"
"54","1","1","2","2","1","1","1","2","2","4","3","4","4","3","4","5","6"
"55","1","2","1","3","1","3","2","3","1","4","6","5","1","6","6","5","2"
"56","2","1","2","2","1","1","1","1","2","4","5","2","1","4","2","6","5"
"57","1","1","2","2","3","3","1","1","3","1","1","3","2","2","4","1","1"
"58","2","2","2","1","2","1","2","1","2","2","6","1","2","6","1","2","3"
"59","2","2","1","3","1","3","2","1","2","4","2","3","4","2","3","6","1"
"60","2","2","3","2","2","3","1","3","5","3","6","4","4","5","2","6","3"
"61","2","2","1","3","3","1","1","2","4","3","2","2","2","4","3","1","6"
"62","2","2","3","2","2","3","1","2","4","5","4","4","4","6","5","5","4"
"63","1","2","2","3","3","2","1","2","5","4","4","6","1","3","1","5","3"
"64","1","1","1","2","2","1","3","1","1","2","2","4","1","3","1","3","1"
"65","2","2","2","1","1","2","1","3","5","5","2","6","6","1","4","4","1"
"66","2","1","3","3","2","2","1","1","2","2","3","6","5","2","6","2","1"
"67","2","2","2","2","3","3","2","2","1","5","5","1","4","4","6","1","1"
"68","1","1","3","3","1","1","1","1","3","5","5","1","6","6","2","3","3"
"69","1","2","3","1","3","1","3","2","2","5","6","3","3","1","6","6","2"
"70","2","1","3","3","2","2","3","3","4","4","5","2","3","6","4","2","1"
"71","2","2","2","2","3","3","3","2","3","4","1","1","2","5","5","2","2"
"72","2","2","2","3","2","3","1","1","6","5","1","5","5","5","1","3","5"
"73","1","1","3","1","3","1","1","3","6","3","4","1","5","3","2","6","2"
"74","2","1","1","2","1","2","2","1","4","5","6","3","5","3","2","2","4"
"75","1","1","3","3","2","2","1","2","2","2","1","2","2","1","2","1","2"
"76","2","1","2","1","1","2","3","2","1","1","4","2","4","5","2","4","1"
"77","1","1","1","2","1","2","2","2","4","5","1","5","3","3","5","1","3"
"78","2","1","1","3","1","3","1","2","3","6","2","1","5","4","4","5","2"
"79","2","1","3","3","1","1","1","3","1","6","3","3","2","5","5","4","4"
"80","1","1","1","3","1","3","3","2","6","2","6","1","6","4","5","6","1"
"81","2","1","2","3","3","2","2","3","3","2","2","4","3","5","3","5","3"
"82","2","1","3","2","2","3","3","2","1","5","2","6","2","3","6","6","3"
"83","2","2","1","1","2","2","3","2","3","6","3","3","4","1","1","6","6"
"84","2","2","1","3","1","3","3","1","5","2","4","3","3","2","2","5","2"
"85","1","1","1","2","1","2","1","3","6","1","2","5","3","1","6","2","4"
"86","2","1","2","1","1","2","3","1","6","3","2","2","4","6","5","3","2"
"87","1","1","1","1","3","3","1","2","2","6","5","6","6","5","6","3","4"
"88","1","2","3","1","1","3","1","1","1","1","5","4","1","2","5","2","6"
"89","1","1","3","2","3","2","3","2","6","4","2","3","2","6","1","4","5"
"90","1","1","3","1","3","1","2","2","4","1","3","1","5","5","1","5","1"
"91","2","1","1","1","3","3","3","3","4","2","3","6","1","4","2","4","3"
"92","1","2","3","2","3","2","2","3","1","6","2","1","3","2","2","3","6"
"93","1","1","1","1","2","2","2","1","5","2","5","5","2","5","5","6","6"
"94","1","2","1","2","1","2","3","2","2","3","4","1","1","5","4","2","4"
"95","1","2","2","3","2","3","3","2","2","1","2","5","5","3","2","4","6"
"96","1","2","3","2","3","2","1","3","4","2","6","1","4","2","3","4","5"
"97","1","1","1","1","2","2","3","3","5","5","5","1","2","2","4","5","5"
"98","1","2","1","3","1","3","1","3","4","6","4","5","2","6","1","6","1"
"99","1","1","2","1","2","1","3","2","6","6","4","5","4","2","3","2","3"
"100","2","2","1","2","1","2","3","3","2","3","5","3","5","5","1","1","3"
"101","1","1","3","3","1","1","3","3","5","1","1","3","4","4","6","3","3"
"102","2","1","2","3","3","2","2","2","5","1","5","4","5","6","3","6","4"
"103","1","1","2","3","3","2","3","1","1","6","6","2","5","1","5","5","3"
"104","1","2","3","1","1","3","3","3","3","3","1","6","5","6","3","2","6"
"105","2","2","3","1","3","1","3","3","2","5","1","5","1","1","3","5","1"
"106","2","1","2","2","1","1","3","3","4","6","1","4","5","2","6","6","5"
"107","2","1","1","1","3","3","1","1","2","6","1","4","3","6","4","4","3"
"108","1","1","2","2","3","3","2","1","5","6","3","3","6","3","3","2","2"
