"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"38","2","1","1","2","2","1","1","1","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","3","7","8","5","8","4","4","2","3","2","4"
"39","1","2","2","2","1","1","1","1","1","1","1","2","2","1","1","2","2","2","1","2","1","1","1","2","1","2","1","1","1","1","1","1","2","1","2","1","1","1","2","2","2","2","2","3","7","8","6","1","6","7","1","8","2"
"40","1","2","1","1","1","1","2","2","2","1","2","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","1","1","1","3","4","1","2","1","2","2","5","4","8","5","2","6","1","2"
"41","1","2","2","1","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","1","1","1","2","2","1","4","4","4","4","8","2","3","3","4","3","2","7","3","6","3"
"42","1","2","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","3","4","1","2","7","1","8","1","1","2","2","4","1","5","1"
"43","2","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","2","1","2","1","2","2","1","2","2","2","2","1","4","1","3","2","6","2","5","2","2","4","6","5","4","5","2"
"44","1","1","1","1","2","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","1","1","2","2","1","1","1","4","2","1","3","8","7","4","8","3","1","5","1","7","5","3"
"45","1","1","1","2","1","2","2","1","2","2","1","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","2","1","2","2","1","2","1","1","1","2","1","2","4","1","3","2","5","4","7","5","6","5","2","1","6","2","6"
"46","2","1","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","2","1","2","3","4","1","2","8","3","6","6","5","7","6","8","7","2","5"
"47","1","2","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","2","1","2","4","3","2","1","1","4","3","4","2","5","4","8","1","8","3"
