"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"49","2","2","1","1","1","2","2","1","2","2","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","2","4","4","8","4","2","6","4","4","2","4","3"
"50","1","2","1","2","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","1","2","2","2","2","1","1","1","1","2","1","2","2","2","1","2","2","1","1","2","2","1","2","5","3","6","7","4","4","1","7","8","13"
"51","2","2","2","2","2","2","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","1","2","2","2","4","4","8","7","4","8","2","4","5","12"
"52","1","2","2","1","2","2","1","2","2","1","1","2","2","2","2","1","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","1","1","1","1","2","6","5","2","8","5","5","2","7","7","3"
"53","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","2","1","1","2","2","1","1","1","3","4","3","6","4","7","2","6","6","5","8","1"
"54","1","2","2","1","1","2","2","1","1","1","2","2","1","2","1","2","1","1","1","1","2","2","1","2","2","2","1","2","1","1","1","2","2","1","2","2","1","1","2","2","2","2","1","2","1","3","8","2","6","4","7","6","3","5","15"
"55","2","2","1","1","2","2","1","2","1","2","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","1","3","5","5","4","4","3","2","8","6","2","15"
"56","1","1","1","1","1","1","1","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","1","1","1","2","3","2","7","8","3","5","4","6","7","2","2"
"57","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","1","1","1","1","1","2","2","2","1","2","2","1","8","5","1","1","7","3","7","7","5","6"
"58","2","1","1","2","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","1","2","2","2","1","2","1","1","1","1","2","2","1","2","2","2","1","2","1","2","2","2","2","1","3","2","8","3","7","5","3","6","5","3","1","3"
"59","1","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","4","4","4","3","3","4","6","5","6","4","7","11"
"60","1","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","2","2","1","1","1","1","1","1","1","2","1","2","1","1","1","2","1","2","1","1","1","4","1","7","8","6","4","2","3","2","5","1","4"
"61","2","2","2","2","1","2","2","1","2","2","2","2","1","1","2","2","2","1","2","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","5","1","8","5","5","6","6","8","7","8"
"62","1","2","1","2","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","2","2","1","2","2","1","2","2","1","2","1","2","2","2","1","1","2","2","2","2","1","2","1","2","2","1","4","2","6","5","5","2","5","3","6","1"
"63","2","2","1","1","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","2","1","2","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","2","4","3","3","7","5","1","6","6","2","3","7","16"
"64","1","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","4","3","8","6","6","6","1","2","3","7","7","5"
"65","1","2","2","1","2","2","1","1","2","2","2","1","2","2","2","1","2","1","2","1","2","2","1","1","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","3","4","6","2","4","3","6","7","1","3","10"
"66","2","1","1","2","1","2","2","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","2","2","1","1","1","4","1","1","2","7","7","6","8","1","7","3","15"
"67","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2","2","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","8","8","8","7","3","3","3","1","6","11"
"68","1","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","1","4","3","6","7","4","5","7","8","2","1","6","13"
"69","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","1","1","1","2","1","2","2","1","2","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","1","2","2","1","2","7","2","4","8","6","6","4","1","5","5"
"70","2","1","2","1","2","2","1","2","2","1","1","1","1","2","2","1","2","1","2","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","2","2","1","2","1","2","3","2","7","5","3","6","6","3","6","3","2","13"
"71","2","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","1","2","2","2","2","1","1","1","1","3","3","1","5","8","6","1","6","4","4","6","4"
"72","2","2","1","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","1","1","1","2","1","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","3","1","1","1","4","3","7","2","2","2","3","11"
"73","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","3","1","1","4","4","4","5","5","7","1","16"
"74","1","1","1","1","2","1","2","1","2","2","1","2","2","2","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","1","4","7","6","8","1","4","2","2","3","4","14"
