"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"41","2","2","2","3","3","3","1","1","1","4","4","4","7"
"42","2","4","3","2","3","1","3","1","1","4","3","1","21"
"43","4","2","1","4","1","3","1","3","3","2","1","3","21"
"44","3","3","3","4","4","4","1","1","1","2","2","2","3"
"45","4","3","1","2","3","4","1","3","2","2","4","1","14"
"46","1","3","4","1","4","2","4","2","2","3","4","2","21"
"47","4","4","4","2","2","2","1","1","1","3","3","3","6"
"48","3","3","3","1","1","1","2","2","2","4","4","4","6"
"49","2","3","1","3","3","2","1","4","1","3","1","4","25"
"50","4","2","1","4","2","4","2","4","1","4","3","1","20"
"51","4","4","4","1","1","1","3","3","3","2","2","2","7"
"52","1","3","4","1","3","1","3","1","4","1","2","4","20"
"53","3","4","1","1","1","2","2","1","2","2","3","4","10"
"54","2","1","4","4","4","3","3","4","3","3","2","1","10"
"55","4","4","4","3","1","1","4","4","3","4","4","4","5"
"56","1","4","3","3","4","2","1","3","2","1","2","4","27"
"57","4","2","1","4","4","2","4","2","4","1","2","4","18"
"58","1","2","4","3","2","1","4","2","3","3","1","4","14"
"59","3","4","1","1","2","1","1","2","4","4","1","2","11"
"60","3","2","4","2","2","3","4","1","4","2","4","1","25"
"61","4","3","2","2","2","1","1","2","1","1","4","3","10"
"62","1","3","2","4","1","2","4","3","1","3","4","2","17"
"63","2","4","3","2","2","4","2","4","2","3","4","2","18"
"64","3","4","1","1","3","4","4","3","3","3","2","1","8"
"65","3","4","1","1","4","3","3","4","1","1","4","3","9"
"66","1","3","2","2","4","1","3","1","4","2","3","4","16"
"67","4","2","3","1","4","3","1","2","4","2","1","3","17"
"68","2","4","1","3","2","1","3","4","2","4","3","1","17"
"69","4","3","1","4","2","3","3","2","1","1","2","4","12"
"70","2","3","4","4","3","1","2","4","1","2","1","3","27"
"71","2","1","4","4","2","1","1","2","2","2","3","4","8"
"72","1","4","3","2","3","4","3","2","1","4","1","2","26"
"73","3","2","4","2","4","1","2","3","1","3","1","4","23"
"74","4","1","3","1","4","1","2","3","4","2","4","1","22"
"75","3","1","4","3","4","2","3","2","1","2","4","1","15"
"76","1","4","2","4","3","2","1","4","4","2","4","1","24"
"77","1","2","3","3","3","4","4","3","4","4","1","2","10"
"78","2","3","1","3","2","3","4","1","2","4","2","3","22"
"79","1","1","1","3","3","3","4","4","4","2","2","2","6"
"80","3","1","4","4","2","3","1","3","2","4","1","2","16"
"81","4","2","3","3","1","4","2","4","1","3","2","1","16"
"82","3","2","1","1","2","4","3","1","4","3","4","2","27"
"83","3","2","4","2","3","2","1","4","3","1","3","2","22"
"84","2","1","3","4","1","2","3","1","4","4","2","3","14"
"85","1","4","3","4","2","3","2","1","3","2","4","1","28"
"86","4","4","4","4","4","4","4","4","4","4","4","4","1"
"87","4","1","3","1","2","3","4","1","1","3","1","4","24"
"88","4","1","2","3","2","1","2","3","4","1","4","3","26"
"89","3","4","2","4","3","1","1","2","4","3","2","1","13"
"90","4","1","2","1","3","2","3","4","2","3","1","4","28"
"91","1","2","4","1","3","2","2","3","4","4","3","1","12"
"92","1","1","1","2","3","3","2","2","4","3","3","3","4"
"93","4","3","2","2","4","3","3","4","4","4","1","2","8"
"94","2","3","1","3","4","1","2","3","3","1","3","2","24"
"95","1","3","4","1","1","3","1","3","1","4","3","1","18"
"96","4","4","4","3","3","3","2","2","2","1","1","1","3"
"97","1","3","2","1","2","4","1","4","3","4","2","3","15"
"98","4","2","3","4","3","1","4","1","2","1","3","2","15"
"99","1","2","3","3","4","3","3","4","2","2","3","4","11"
"100","2","1","3","1","2","4","4","3","1","2","3","4","13"
"101","2","2","2","1","3","3","2","2","1","2","2","2","5"
"102","2","2","2","4","4","4","3","3","3","1","1","1","6"
"103","4","1","2","2","1","3","4","2","3","4","3","1","27"
"104","2","2","2","2","2","2","2","2","2","2","2","2","1"
"105","3","2","1","2","4","1","4","3","1","4","2","3","28"
"106","3","1","2","3","2","4","2","4","4","1","2","4","21"
"107","2","4","3","2","4","2","4","2","3","2","1","3","20"
"108","2","2","2","1","2","2","3","3","2","1","1","1","2"
"109","3","1","4","2","3","4","2","1","3","1","2","4","17"
"110","4","3","1","3","4","2","2","1","3","4","1","2","13"
"111","4","1","3","1","1","4","3","2","3","1","3","2","25"
"112","4","2","1","4","3","1","3","1","2","3","4","2","19"
