"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"41","1","3","2","1","2","3","3","2","1","3","3","3","1","28"
"42","3","3","2","1","3","1","2","3","1","3","3","3","2","9"
"43","2","2","1","3","3","2","1","2","1","1","3","3","3","10"
"44","3","1","2","2","1","3","2","2","3","3","3","3","1","22"
"45","2","1","3","1","2","1","2","2","2","3","2","2","1","30"
"46","1","1","3","2","1","2","3","1","2","1","1","1","3","9"
"47","3","3","1","1","2","1","3","1","3","1","1","2","1","5"
"48","2","2","2","2","3","1","2","2","3","2","3","1","1","2"
"49","3","2","3","1","1","1","2","2","2","2","1","3","2","27"
"50","2","3","3","1","1","1","1","3","3","1","3","3","3","19"
"51","1","1","1","3","3","2","2","2","1","1","3","2","3","3"
"52","3","3","2","3","2","2","1","2","2","3","1","2","2","8"
"53","1","3","1","1","1","1","1","2","2","3","2","3","3","23"
"54","3","1","2","1","2","1","3","3","2","2","3","2","3","20"
"55","1","2","3","3","1","1","2","1","2","1","3","2","1","21"
"56","1","2","3","2","3","2","1","1","3","3","1","3","1","20"
"57","3","2","3","3","3","3","3","1","1","2","1","2","2","23"
"58","3","1","1","3","1","1","3","2","3","3","3","1","3","15"
"59","2","3","3","1","2","2","2","1","1","2","3","3","3","18"
"60","2","2","3","2","2","1","1","2","1","3","2","1","3","4"
"61","1","3","1","1","3","2","2","1","2","3","3","1","2","24"
"62","3","3","1","3","3","2","2","3","2","1","3","2","1","4"
"63","3","1","1","3","1","1","3","2","1","2","2","3","3","16"
"64","1","1","3","1","3","1","2","2","1","2","3","1","2","7"
"65","2","1","2","3","3","3","1","1","1","1","3","2","1","27"
"66","2","2","1","3","2","3","1","2","3","2","2","2","1","9"
"67","2","3","3","2","3","3","2","1","2","2","2","3","2","15"
"68","3","3","3","2","2","1","1","1","3","3","2","1","2","3"
"69","3","2","2","1","3","2","3","1","2","1","2","1","3","31"
"70","3","3","1","2","3","1","1","2","2","1","1","3","1","6"
"71","1","1","2","1","1","3","3","1","3","2","1","3","2","4"
"72","2","1","2","2","2","2","2","3","3","1","3","1","1","23"
"73","2","2","3","3","1","3","2","3","2","3","3","1","3","5"
"74","2","1","2","3","2","1","3","1","2","1","3","3","2","26"
"75","2","3","1","1","2","2","3","2","3","2","1","3","2","21"
"76","1","2","1","3","3","1","2","1","3","3","1","3","1","14"
"77","2","3","1","1","3","2","1","1","2","2","2","2","3","22"
"78","1","3","1","2","1","1","1","3","2","2","3","2","2","25"
"79","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"80","3","2","1","1","2","3","2","3","3","1","2","1","2","29"
"81","3","1","1","2","2","2","2","1","1","2","1","1","1","19"
"82","1","3","3","3","2","2","3","2","3","2","3","1","1","32"
"83","2","3","1","3","1","3","2","2","1","1","2","1","2","20"
"84","3","2","3","1","3","2","1","2","3","2","1","1","3","26"
"85","2","2","1","1","1","3","1","1","3","3","3","1","2","11"
"86","2","1","1","1","3","3","1","3","1","3","1","2","2","32"
"87","3","3","2","2","2","1","2","2","1","1","1","2","3","11"
"88","1","3","1","2","1","3","2","3","1","3","2","2","1","26"
"89","3","1","3","1","1","2","2","1","1","3","2","2","1","13"
"90","3","2","3","1","3","3","3","2","1","1","2","1","1","25"
"91","2","2","1","2","1","2","3","3","2","3","1","2","3","7"
"92","1","2","2","1","2","2","1","3","2","3","3","1","1","16"
"93","1","1","3","1","3","3","2","3","3","1","2","3","3","8"
"94","2","3","3","2","1","2","3","3","1","1","2","3","1","17"
"95","2","1","1","3","2","1","2","3","1","3","1","3","2","31"
"96","1","2","2","1","3","1","2","2","3","3","1","2","3","17"
"97","2","2","3","1","2","3","3","1","1","3","3","2","3","6"
"98","2","2","2","1","1","3","3","3","2","2","1","3","1","3"
"99","2","1","3","2","3","1","1","3","2","1","1","1","2","28"
