"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"34","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","8"
"35","1","1","1","2","1","1","1","2","1","2","2","2","2","1","2","4","15"
"36","1","2","2","1","2","1","1","1","2","2","2","1","1","2","1","4","4"
"37","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","6","5"
"38","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","4","16"
"39","1","2","1","2","2","2","1","1","1","2","2","1","1","2","1","1","12"
"40","2","1","1","2","1","2","2","2","1","1","1","2","2","1","2","4","6"
"41","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","5","9"
"42","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","8"
"43","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","6","4"
"44","2","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","15"
"45","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","6","3"
"46","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","4","5"
"47","2","1","2","2","1","1","1","2","1","2","2","1","1","1","1","5","14"
"48","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","6","13"
"49","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","3","10"
"50","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","5","15"
"51","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","5","7"
"52","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","5","8"
"53","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","3","11"
"54","2","2","1","2","2","1","2","1","1","2","2","1","2","1","1","6","16"
"55","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","4","13"
"56","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","17"
"57","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","3","13"
"58","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","18"
"59","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","6"
"60","2","2","2","2","2","1","2","1","2","2","1","2","1","2","2","1","14"
"61","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","13"
"62","2","1","2","2","1","2","1","1","1","2","2","1","1","1","2","5","10"
"63","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","6","11"
"64","1","2","2","2","1","1","1","2","1","1","1","2","2","2","1","6","1"
"65","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7"
"66","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","6","18"
"67","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","5"
"68","1","1","1","2","2","2","1","2","2","1","1","1","1","2","2","6","8"
"69","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","3"
"70","1","2","1","1","1","2","2","2","1","2","2","1","2","2","2","2","4"
"71","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","3","5"
"72","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","3","4"
"73","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","4","1"
"74","1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","2","10"
"75","2","1","2","2","1","2","1","2","2","1","1","1","1","2","1","6","17"
"76","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","11"
"77","2","2","1","1","2","1","1","2","2","1","2","2","2","2","2","5","13"
"78","2","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","17"
"79","2","1","1","2","1","2","2","2","1","1","2","1","2","1","1","4","12"
"80","2","2","2","2","2","1","2","2","1","1","2","1","1","2","2","2","15"
"81","2","2","1","1","1","2","2","2","2","2","2","2","1","2","1","4","14"
"82","1","2","2","1","2","1","1","1","2","2","2","2","2","1","1","4","10"
"83","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","3","16"
"84","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","4","7"
"85","1","1","2","1","2","2","2","1","1","1","1","1","2","1","2","3","1"
"86","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1"
"87","1","1","2","1","1","2","1","2","2","2","1","2","1","1","2","3","12"
"88","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","4","11"
"89","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","1","2"
"90","2","2","2","2","2","2","2","2","1","2","1","2","2","1","1","3","18"
"91","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","5","6"
"92","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","5","17"
"93","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","4","3"
"94","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","1","4"
"95","2","1","2","2","1","2","1","1","1","2","1","2","1","1","2","5","4"
"96","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","3","6"
"97","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","6","9"
"98","1","2","1","1","2","1","1","2","2","2","1","1","1","2","1","3","15"
"99","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","2","7"
"100","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","6","7"
"101","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","5","1"
"102","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","3","17"
"103","1","2","2","1","1","2","2","1","1","2","1","2","1","2","1","5","16"
"104","1","2","2","2","1","1","1","2","2","1","2","1","2","2","1","1","16"
"105","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","2","5"
"106","1","1","1","2","2","2","2","2","2","2","1","2","2","2","1","5","18"
"107","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","6","10"
"108","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","11"
