"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"54","4","2","1","5","4","4","1","3","5","2","3","4","5","3","1","4","2","2","5","3","1","3"
"55","1","5","5","5","5","3","3","3","3","1","1","1","1","4","4","4","4","2","2","2","2","4"
"56","1","4","5","1","2","4","1","3","5","4","2","5","3","4","3","2","1","1","3","5","2","5"
"57","2","2","4","1","3","3","2","1","5","1","4","2","5","3","4","5","1","4","2","5","3","5"
"58","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"59","3","3","5","2","4","1","2","3","4","3","2","1","5","1","4","2","5","4","1","3","5","1"
"60","3","1","4","2","5","1","5","4","3","2","3","4","5","2","4","1","3","1","3","5","2","3"
"61","4","1","4","2","5","5","3","1","4","4","2","5","3","3","1","4","2","5","1","2","3","1"
"62","2","5","1","2","3","1","4","2","5","1","5","4","3","3","5","2","4","3","1","4","2","1"
"63","3","1","3","5","2","4","5","1","2","1","5","4","3","4","2","5","3","2","4","1","3","1"
"64","2","1","3","5","2","1","4","2","5","3","4","5","1","5","4","3","2","4","3","2","1","4"
"65","4","3","1","4","2","2","5","3","1","1","4","2","5","5","3","1","4","2","3","4","5","1"
"66","1","3","3","3","3","4","4","4","4","5","5","5","5","1","1","1","1","2","2","2","2","2"
"67","1","2","2","2","2","4","4","4","4","1","1","1","1","3","3","3","3","5","5","5","5","3"
"68","4","3","2","1","5","4","5","1","2","5","3","1","4","3","5","2","4","4","3","2","1","2"
"69","3","3","5","2","4","2","4","1","3","1","3","5","2","5","2","4","1","3","4","5","1","2"
"70","4","3","2","1","5","1","4","2","5","4","1","3","5","2","3","4","5","2","4","1","3","4"
"71","4","1","5","4","3","5","4","3","2","4","3","2","1","3","2","1","5","4","5","1","2","5"
"72","4","1","5","4","3","4","2","5","3","2","4","1","3","5","1","2","3","5","2","4","1","4"
"73","1","1","1","1","1","3","3","3","3","5","5","5","5","2","2","2","2","4","4","4","4","3"
"74","4","4","2","5","3","3","1","4","2","2","5","3","1","1","4","2","5","3","4","5","1","1"
"75","3","4","1","3","5","3","5","2","4","2","4","1","3","1","3","5","2","4","5","1","2","2"
"76","3","3","1","4","2","5","1","2","3","5","2","4","1","1","5","4","3","4","2","5","3","4"
"77","2","3","5","2","4","4","3","2","1","2","5","3","1","4","5","1","2","5","3","1","4","5"
"78","3","3","1","4","2","1","3","5","2","2","1","5","4","3","4","5","1","5","4","3","2","5"
"79","1","1","2","3","4","1","3","5","2","1","4","2","5","1","5","4","3","3","5","2","4","5"
"80","2","1","2","3","4","3","2","1","5","5","2","4","1","5","3","1","4","5","4","3","2","2"
"81","2","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","3"
"82","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3"
"83","1","2","3","4","5","2","4","1","3","2","5","3","1","2","1","5","4","4","1","3","5","5"
"84","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","1","1","1","1","2"
"85","2","5","2","4","1","1","5","4","3","4","2","5","3","1","2","3","4","2","5","3","1","5"
"86","4","1","5","4","3","2","3","4","5","3","1","4","2","1","3","5","2","2","1","5","4","2"
"87","4","3","2","1","5","5","2","4","1","3","4","5","1","4","2","5","3","3","1","4","2","3"
"88","2","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","3"
"89","2","3","5","2","4","3","1","4","2","5","1","2","3","2","1","5","4","1","5","4","3","4"
"90","3","5","3","1","4","5","4","3","2","1","2","3","4","1","3","5","2","5","2","4","1","3"
"91","4","2","1","5","4","5","3","1","4","3","5","2","4","1","2","3","4","1","3","5","2","4"
"92","2","2","4","1","3","2","5","3","1","4","5","1","2","1","5","4","3","5","4","3","2","4"
"93","3","2","5","3","1","4","5","1","2","4","1","3","5","5","4","3","2","3","1","4","2","4"
"94","3","1","4","2","5","4","1","3","5","5","4","3","2","1","2","3","4","3","2","1","5","5"
"95","2","4","5","1","2","5","3","1","4","5","4","3","2","2","4","1","3","2","5","3","1","1"
"96","4","3","2","1","5","2","1","5","4","1","5","4","3","5","4","3","2","1","2","3","4","5"
"97","1","3","4","5","1","3","5","2","4","3","1","4","2","3","2","1","5","5","2","4","1","5"
"98","1","1","1","1","1","4","4","4","4","2","2","2","2","5","5","5","5","3","3","3","3","4"
"99","3","5","3","1","4","2","3","4","5","2","4","1","3","3","2","1","5","1","4","2","5","4"
"100","4","2","5","3","1","1","4","2","5","5","3","1","4","4","2","5","3","1","2","3","4","1"
