"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"74","2","2","2","2","1","2","1","1","2","1","1","3","1","1","3","2","3","2","3","2","1","3","2","3","3","2","1","2","1","2","1","3","2","1","2","2","1","3","1","3","1","3","2","3","2","2","3","3","2","2","1","6"
"75","1","1","2","1","1","2","2","2","2","2","3","3","3","1","1","2","2","1","1","2","2","2","2","2","3","3","1","1","3","3","1","1","1","1","1","2","2","3","3","2","2","3","3","1","3","1","1","2","1","2","1","9"
"76","1","2","2","2","1","1","2","2","1","1","2","3","3","1","1","1","1","2","2","3","3","2","3","3","1","1","1","1","2","2","3","3","2","3","3","1","1","1","1","2","2","3","3","3","3","1","2","3","3","2","6","4"
"77","1","1","2","1","1","2","2","2","2","2","1","1","1","2","2","3","3","2","2","3","3","3","3","3","1","1","2","2","1","1","2","2","2","2","2","3","3","1","1","3","3","1","1","1","3","1","1","2","1","2","1","3"
"78","2","1","1","2","2","2","2","2","1","1","2","2","1","3","1","2","3","2","1","1","3","1","1","3","2","3","1","2","1","3","3","2","3","3","2","1","2","3","1","3","2","2","1","2","2","3","2","1","1","2","3","9"
"79","2","2","1","1","1","2","1","2","1","2","2","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","2","3","1","2","3","1","1","2","3","1","2","3","1","2","3","1","2","2","3","3","3","3","2","2","2","2"
"80","1","1","2","2","2","2","1","1","1","2","2","1","3","3","1","3","2","2","3","2","1","3","2","1","1","2","1","3","3","1","3","2","1","3","2","2","3","2","1","1","2","1","3","2","1","1","1","1","2","2","6","2"
"81","1","2","1","1","2","2","2","1","2","1","3","3","2","2","1","1","3","2","3","1","2","2","2","1","1","3","3","2","1","2","3","1","1","1","3","3","2","2","1","3","1","2","3","2","3","2","3","1","3","1","6","3"
"82","2","1","1","2","1","1","2","1","2","2","3","3","2","2","1","1","3","2","3","1","2","3","3","2","2","1","1","3","2","3","1","2","3","3","2","2","1","1","3","2","3","1","2","2","1","2","3","2","3","2","4","1"
"83","1","2","2","2","1","1","2","2","1","1","2","1","3","1","3","2","3","3","2","1","2","3","2","1","2","1","3","1","1","3","2","3","1","3","2","3","2","1","2","2","1","3","1","1","1","2","3","1","1","3","2","2"
"84","1","2","2","2","1","1","2","2","1","1","3","2","1","2","1","3","1","1","3","2","3","1","3","2","3","2","1","2","2","1","3","1","2","1","3","1","3","2","3","3","2","1","2","1","1","2","3","1","1","3","2","5"
"85","2","1","1","2","2","2","2","2","1","1","2","3","3","1","1","1","1","2","2","3","3","3","1","1","2","2","2","2","3","3","1","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","1","3","3","1","1","5"
"86","2","1","2","1","2","1","1","2","2","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","1","1","3","3","1","2","7"
"87","2","2","1","1","1","2","1","2","1","2","1","3","2","3","2","1","2","2","1","3","1","3","2","1","2","1","3","1","1","3","2","3","2","1","3","1","3","2","3","3","2","1","2","3","1","1","1","1","3","3","4","9"
"88","1","1","2","1","1","2","2","2","2","2","2","1","2","2","1","3","1","3","1","3","2","3","2","3","3","2","1","2","1","2","1","3","1","3","1","1","3","2","3","2","3","2","1","3","2","3","3","1","3","1","5","8"
"89","1","2","1","2","2","1","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","3","3","1","1","3","3","1","1","2","2","2","3","3","1","1","3","3","1","1","2","2","1","3","1","1","3","1","4"
"90","2","2","2","2","1","2","1","1","2","1","2","1","2","2","1","3","1","3","1","3","2","1","3","1","1","3","2","3","2","3","2","1","3","2","3","3","2","1","2","1","2","1","3","3","2","2","3","3","2","2","1","9"
"91","1","2","2","2","1","1","2","2","1","1","1","2","2","3","3","3","3","1","1","2","2","1","2","2","3","3","3","3","1","1","2","2","1","2","2","3","3","3","3","1","1","2","2","3","3","1","2","3","3","2","6","1"
"92","1","2","1","2","2","1","1","2","2","2","3","1","1","3","3","1","1","2","2","2","2","2","3","3","2","2","3","3","1","1","1","1","1","2","2","1","1","2","2","3","3","3","3","1","1","3","2","3","3","2","5","9"
"93","1","2","1","1","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","3","2","3","4","5"
