"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"28","2","1","1","1","1","1","1","1","2","1","2","2","1","1","2","1","2","1","1","1"
"29","2","2","1","2","2","2","2","2","1","1","2","2","2","1","2","1","1","2","1","19"
"30","2","2","1","1","1","2","2","1","1","2","1","1","2","2","2","2","2","2","1","4"
"31","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","2","1","18"
"32","1","1","1","2","1","1","1","2","2","1","1","2","1","2","2","2","1","1","1","13"
"33","1","1","2","2","1","2","1","1","1","1","2","1","1","1","2","2","2","1","2","11"
"34","2","1","1","2","2","2","2","2","2","1","1","1","2","1","2","1","2","1","2","8"
"35","2","2","2","1","2","2","1","1","1","1","2","2","1","1","2","2","2","1","2","17"
"36","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1","2","2","2","12"
"37","2","1","2","1","2","2","1","2","2","2","2","2","2","2","1","2","2","2","1","6"
"38","1","1","1","2","1","1","2","1","1","2","2","1","1","1","1","2","1","2","1","8"
"39","2","2","1","2","1","1","1","1","1","1","1","2","2","2","1","2","1","1","2","5"
"40","1","1","1","2","2","1","1","2","1","1","2","2","2","1","2","2","2","2","1","16"
"41","1","1","1","2","2","2","1","2","2","2","2","1","1","1","1","2","2","1","1","3"
"42","2","1","1","1","1","2","2","1","1","2","1","2","1","2","1","1","1","1","2","16"
"43","1","2","2","2","2","2","2","2","1","2","1","2","1","1","2","2","1","2","1","1"
"44","2","1","1","1","1","2","1","1","1","2","2","2","2","1","2","1","1","2","1","2"
"45","1","2","1","1","1","2","1","2","2","1","2","1","2","2","2","1","2","1","1","17"
"46","2","2","2","2","1","2","1","1","1","2","2","1","2","2","2","1","2","2","2","13"
"47","2","1","2","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2","2","19"
"48","2","2","1","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","11"
"49","1","1","2","2","1","1","2","1","1","1","2","1","2","2","2","2","2","2","2","9"
"50","1","2","2","2","2","2","2","2","1","2","1","1","2","2","1","1","2","1","2","1"
"51","1","2","2","1","2","1","2","1","1","1","2","2","1","2","2","1","2","2","1","3"
"52","1","2","2","1","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","5"
"53","1","2","1","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","12"
"54","1","1","1","1","1","2","2","2","1","2","2","2","2","2","1","1","2","2","2","14"
"55","1","2","2","1","1","2","1","1","2","2","1","1","2","1","2","2","1","1","2","7"
"56","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","1","1","18"
"57","2","2","1","2","1","2","2","1","2","1","1","1","2","2","2","1","1","1","2","3"
"58","1","2","1","2","1","2","1","2","2","2","1","1","1","1","2","1","1","2","2","6"
"59","1","2","2","1","1","2","2","1","2","1","2","2","2","1","1","2","1","2","1","11"
"60","2","2","2","2","2","1","2","1","2","2","1","2","2","1","2","2","2","1","2","10"
"61","1","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","1","8"
"62","1","1","2","1","2","1","2","1","1","1","1","1","2","2","2","1","1","1","1","6"
"63","2","1","1","1","1","1","1","1","2","1","2","1","2","2","1","2","1","2","2","1"
"64","1","2","2","1","2","1","1","1","1","1","1","1","2","1","1","2","1","1","1","14"
"65","2","2","1","2","1","1","2","1","1","1","2","2","1","1","1","2","2","1","2","6"
"66","2","2","1","1","2","2","2","2","2","1","2","2","2","1","1","2","1","2","2","13"
"67","1","2","2","1","1","1","2","2","2","2","2","1","2","1","2","1","2","1","2","16"
"68","2","2","1","2","1","2","2","2","1","2","2","1","1","2","1","2","2","1","1","9"
"69","1","1","1","2","1","1","2","1","2","2","2","2","1","1","1","1","2","2","2","7"
"70","1","1","2","2","1","2","1","2","1","1","2","2","2","2","1","1","1","1","2","18"
"71","1","1","2","2","1","1","2","1","2","2","1","2","1","2","1","1","1","2","1","17"
"72","2","1","2","1","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","9"
"73","1","1","1","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","2","19"
"74","2","1","2","1","1","2","2","2","1","1","2","1","2","1","1","1","1","1","1","10"
"75","1","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","2","2","10"
"76","2","2","1","1","1","1","1","2","1","2","1","1","1","1","2","2","2","1","1","2"
