"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"62","2","2","1","1","2","2","2","1","1","2","2","6","1","5","3","6","4","3"
"63","1","2","2","2","1","2","2","1","1","2","3","5","6","1","5","5","1","3"
"64","2","1","1","1","1","1","1","1","1","2","3","5","3","4","2","2","4","6"
"65","1","1","2","2","2","1","1","1","3","1","1","6","6","4","2","5","3","2"
"66","2","2","1","1","2","2","2","1","2","3","3","6","5","3","1","4","2","1"
"67","2","2","2","2","1","1","1","1","2","2","1","3","3","3","4","6","1","5"
"68","2","2","1","2","2","1","1","1","3","3","3","2","6","2","3","1","4","5"
"69","1","1","1","1","1","2","2","1","2","2","1","3","6","6","1","3","4","2"
"70","2","1","1","2","2","2","2","1","3","2","1","4","5","4","6","1","5","3"
"71","1","1","1","1","1","2","2","1","3","3","2","3","4","4","5","1","2","6"
"72","2","1","2","1","2","2","1","2","2","1","3","5","4","5","2","1","6","3"
